Tid,GodkjenteProsent,PolitParti,Region
2025 2025,7.4,06 Sosialistisk Venstreparti,3218 Ås
2021 2021,,07 Venstre,3218 Ås
2025 2025,4.6,07 Venstre,3218 Ås
2021 2021,,08 Miljøpartiet de Grønne,3218 Ås
2025 2025,9.1,08 Miljøpartiet de Grønne,3218 Ås
2021 2021,,55 Rødt,3218 Ås
2025 2025,5.8,55 Rødt,3218 Ås
2021 2021,,01 Arbeiderpartiet,3220 Enebakk
2025 2025,25.7,01 Arbeiderpartiet,3220 Enebakk
2021 2021,,02 Fremskrittspartiet,3220 Enebakk
2025 2025,33.1,02 Fremskrittspartiet,3220 Enebakk
2021 2021,,03 Høyre,3220 Enebakk
2025 2025,13.0,03 Høyre,3220 Enebakk
2021 2021,,04 Kristelig Folkeparti,3220 Enebakk
2025 2025,3.2,04 Kristelig Folkeparti,3220 Enebakk
2021 2021,,05 Senterpartiet,3220 Enebakk
2025 2025,5.3,05 Senterpartiet,3220 Enebakk
2021 2021,,06 Sosialistisk Venstreparti,3220 Enebakk
2025 2025,4.8,06 Sosialistisk Venstreparti,3220 Enebakk
2021 2021,,07 Venstre,3220 Enebakk
2025 2025,2.5,07 Venstre,3220 Enebakk
2021 2021,,08 Miljøpartiet de Grønne,3220 Enebakk
2025 2025,2.7,08 Miljøpartiet de Grønne,3220 Enebakk
2021 2021,,55 Rødt,3220 Enebakk
2025 2025,4.8,55 Rødt,3220 Enebakk
2021 2021,,01 Arbeiderpartiet,3222 Lørenskog
2025 2025,30.9,01 Arbeiderpartiet,3222 Lørenskog
2021 2021,,02 Fremskrittspartiet,3222 Lørenskog
2025 2025,23.8,02 Fremskrittspartiet,3222 Lørenskog
2021 2021,,03 Høyre,3222 Lørenskog
2025 2025,16.5,03 Høyre,3222 Lørenskog
2021 2021,,04 Kristelig Folkeparti,3222 Lørenskog
2025 2025,2.0,04 Kristelig Folkeparti,3222 Lørenskog
2021 2021,,05 Senterpartiet,3222 Lørenskog
2025 2025,1.5,05 Senterpartiet,3222 Lørenskog
2021 2021,,06 Sosialistisk Venstreparti,3222 Lørenskog
2025 2025,8.2,06 Sosialistisk Venstreparti,3222 Lørenskog
2021 2021,,07 Venstre,3222 Lørenskog
2025 2025,3.9,07 Venstre,3222 Lørenskog
2021 2021,,08 Miljøpartiet de Grønne,3222 Lørenskog
2025 2025,4.0,08 Miljøpartiet de Grønne,3222 Lørenskog
2021 2021,,55 Rødt,3222 Lørenskog
2025 2025,5.0,55 Rødt,3222 Lørenskog
2021 2021,,01 Arbeiderpartiet,3224 Rælingen
2025 2025,32.3,01 Arbeiderpartiet,3224 Rælingen
2021 2021,,02 Fremskrittspartiet,3224 Rælingen
2025 2025,25.6,02 Fremskrittspartiet,3224 Rælingen
2021 2021,,03 Høyre,3224 Rælingen
2025 2025,15.5,03 Høyre,3224 Rælingen
2021 2021,,04 Kristelig Folkeparti,3224 Rælingen
2025 2025,2.8,04 Kristelig Folkeparti,3224 Rælingen
2021 2021,,05 Senterpartiet,3224 Rælingen
2025 2025,2.2,05 Senterpartiet,3224 Rælingen
2021 2021,,06 Sosialistisk Venstreparti,3224 Rælingen
2025 2025,5.7,06 Sosialistisk Venstreparti,3224 Rælingen
2021 2021,,07 Venstre,3224 Rælingen
2025 2025,3.5,07 Venstre,3224 Rælingen
2021 2021,,08 Miljøpartiet de Grønne,3224 Rælingen
2025 2025,3.8,08 Miljøpartiet de Grønne,3224 Rælingen
2021 2021,,55 Rødt,3224 Rælingen
2025 2025,4.1,55 Rødt,3224 Rælingen
2021 2021,,01 Arbeiderpartiet,3226 Aurskog-Høland
2025 2025,32.0,01 Arbeiderpartiet,3226 Aurskog-Høland
2021 2021,,02 Fremskrittspartiet,3226 Aurskog-Høland
2025 2025,30.0,02 Fremskrittspartiet,3226 Aurskog-Høland
2021 2021,,03 Høyre,3226 Aurskog-Høland
2025 2025,9.1,03 Høyre,3226 Aurskog-Høland
2021 2021,,04 Kristelig Folkeparti,3226 Aurskog-Høland
2025 2025,3.8,04 Kristelig Folkeparti,3226 Aurskog-Høland
2021 2021,,05 Senterpartiet,3226 Aurskog-Høland
2025 2025,10.0,05 Senterpartiet,3226 Aurskog-Høland
2021 2021,,06 Sosialistisk Venstreparti,3226 Aurskog-Høland
2025 2025,2.7,06 Sosialistisk Venstreparti,3226 Aurskog-Høland
2021 2021,,07 Venstre,3226 Aurskog-Høland
2025 2025,1.3,07 Venstre,3226 Aurskog-Høland
2021 2021,,08 Miljøpartiet de Grønne,3226 Aurskog-Høland
2025 2025,1.8,08 Miljøpartiet de Grønne,3226 Aurskog-Høland
2021 2021,,55 Rødt,3226 Aurskog-Høland
2025 2025,4.7,55 Rødt,3226 Aurskog-Høland
2021 2021,,01 Arbeiderpartiet,3228 Nes
2025 2025,31.0,01 Arbeiderpartiet,3228 Nes
2021 2021,,02 Fremskrittspartiet,3228 Nes
2025 2025,30.4,02 Fremskrittspartiet,3228 Nes
2021 2021,,03 Høyre,3228 Nes
2025 2025,9.2,03 Høyre,3228 Nes
2021 2021,,04 Kristelig Folkeparti,3228 Nes
2025 2025,2.3,04 Kristelig Folkeparti,3228 Nes
2021 2021,,05 Senterpartiet,3228 Nes
2025 2025,7.7,05 Senterpartiet,3228 Nes
2021 2021,,06 Sosialistisk Venstreparti,3228 Nes
2025 2025,4.0,06 Sosialistisk Venstreparti,3228 Nes
2021 2021,,07 Venstre,3228 Nes
2025 2025,2.1,07 Venstre,3228 Nes
2021 2021,,08 Miljøpartiet de Grønne,3228 Nes
2025 2025,3.0,08 Miljøpartiet de Grønne,3228 Nes
2021 2021,,55 Rødt,3228 Nes
2025 2025,5.0,55 Rødt,3228 Nes
2021 2021,,01 Arbeiderpartiet,3230 Gjerdrum
2025 2025,28.2,01 Arbeiderpartiet,3230 Gjerdrum
2021 2021,,02 Fremskrittspartiet,3230 Gjerdrum
2025 2025,27.1,02 Fremskrittspartiet,3230 Gjerdrum
2021 2021,,03 Høyre,3230 Gjerdrum
2025 2025,17.3,03 Høyre,3230 Gjerdrum
2021 2021,,04 Kristelig Folkeparti,3230 Gjerdrum
2025 2025,3.7,04 Kristelig Folkeparti,3230 Gjerdrum
2021 2021,,05 Senterpartiet,3230 Gjerdrum
