kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
1532,Giske,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,4,714,False,0,3048.0,8.17,14.24,6.07,15.88,19.78,3.9,24.34,14.52,-9.82,25.92,27.01,1.09,11.32,7.12,-4.2,0.0,0.0,0.0,14.37,17.33,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6337.0,8.7542,2.4933,5.2845,-10.7,-8.89,4.39,4.033658954135964,1995-1999→1999-2003
1535,Vestnes,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,644,False,0,2885.0,23.05,22.4,-0.65,5.89,24.73,18.84,24.4,13.88,-10.52,17.05,9.28,-7.77,18.41,12.09,-6.32,3.71,4.91,1.2,7.49,4.53,-2.96,0.0,0.0,0.0,0.0,1.37,1.37,0.0,6.8,6.8,6505.0,8.7803,-0.9685,-0.2014,7.57,-3.72,14.63,12.217505107176226,1995-1999→1999-2003
1539,Rauma,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,627,False,0,3286.0,29.58,20.66,-8.92,11.69,20.04,8.35,15.86,12.28,-3.58,17.13,9.98,-7.15,17.19,17.22,0.03,0.0,10.77,10.77,8.55,9.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7504.0,8.9232,-2.5586,-6.0758,1.4,-8.44,3.04,1.9836965778987092,1995-1999→1999-2003
1547,Aukra,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,616,False,0,1446.0,23.44,17.75,-5.69,0.0,12.03,12.03,14.59,14.2,-0.39,25.66,32.39,6.73,20.82,7.1,-13.72,6.43,9.13,2.7,9.06,7.39,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2961.0,7.9933,2.6005,2.1176,-0.35,-9.55,2.88,1.29450082840935,1995-1999→1999-2003
1554,Averøy,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,611,False,0,2519.0,32.91,29.34,-3.57,8.61,12.66,4.05,11.95,10.54,-1.41,11.95,7.87,-4.08,21.52,25.02,3.5,0.0,8.09,8.09,13.06,6.48,-6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5470.0,8.607,-0.1463,-1.9566,7.45,5.9,6.14,3.373014683364439,1995-1999→1999-2003
1557,Gjemnes,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,576,False,0,1362.0,23.64,20.4,-3.24,0.0,0.0,0.0,7.64,18.41,10.77,28.71,22.63,-6.08,28.63,29.98,1.35,7.27,8.59,1.32,4.11,0.0,-4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.0,7.8928,-0.7842,-4.4932,-2.56,-10.59,-0.6,-2.1286050054801176,1995-1999→1999-2003
1560,Tingvoll,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,568,False,0,1583.0,32.09,22.51,-9.58,0.0,14.96,14.96,9.41,10.41,1.0,14.59,7.94,-6.65,30.64,30.84,0.2,6.25,4.49,-1.76,7.01,8.85,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.0,8.0382,1.5822,-6.9506,-5.75,1.28,-1.62,-2.0260244759581694,1995-1999→1999-2003
1563,Sunndal,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,640,False,0,3321.0,48.6,37.26,-11.34,0.0,16.37,16.37,14.15,7.95,-6.2,8.7,5.05,-3.65,11.23,18.63,7.4,10.06,9.08,-0.98,7.26,5.66,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7431.0,8.9134,-0.3499,-2.8215,-2.16,-4.19,1.59,0.16727740266568358,1995-1999→1999-2003
1566,Surnadal,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,5,607,False,0,2866.0,35.8,30.03,-5.77,0.0,0.0,0.0,6.8,7.57,0.77,7.15,5.91,-1.24,44.31,48.88,4.57,3.49,7.61,4.12,2.44,0.0,-2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6246.0,8.7397,-0.6084,-3.6922,-4.21,10.49,-3.83,-5.330238960883494,1995-1999→1999-2003
1573,Smøla,1999-2003,1999,2003,Møre og Romsdal,Vestlandet,6,501,False,0,1205.0,21.83,17.23,-4.6,0.0,0.0,0.0,17.59,15.3,-2.29,8.96,6.06,-2.9,15.35,9.62,-5.73,0.0,11.74,11.74,36.27,40.04,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432.0,7.7965,-6.8257,-14.0364,0.27,-0.4,2.55,3.336475501273929,1995-1999→1999-2003
