kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst
1815,Vega,1987-1991,1987,1991,Nordland,Nord-Norge,6,400,False,False,887.0,35.96,33.29,-2.67,0.0,0.0,0.0,11.84,10.83,-1.01,0.0,0.0,0.0,16.12,23.63,7.51,10.37,18.74,8.37,7.22,7.1,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,18.49,6.4,-12.09,1609.0,7.3834,-3.9155,
1816,Vevelstad,1987-1991,1987,1991,Nordland,Nord-Norge,6,373,False,False,409.0,54.28,45.01,-9.27,0.0,0.0,0.0,0.0,12.02,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.72,35.81,-9.91,729.0,6.5917,-9.6022,
1818,Herøy (Nordland),1987-1991,1987,1991,Nordland,Nord-Norge,6,480,False,False,944.0,55.19,55.31,0.12,0.0,0.0,0.0,14.62,9.94,-4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.19,21.94,-8.25,2100.0,7.6497,-2.0,
1820,Alstahaug,1987-1991,1987,1991,Nordland,Nord-Norge,5,653,False,False,3274.0,42.33,35.14,-7.19,3.73,8.14,4.41,27.12,19.02,-8.1,5.1,5.34,0.24,7.61,12.8,5.19,5.16,10.94,5.78,4.61,4.69,0.08,0.0,0.0,0.0,4.34,3.94,-0.4,0.0,0.0,0.0,7573.0,8.9323,-1.0828,
1822,Leirfjord,1987-1991,1987,1991,Nordland,Nord-Norge,6,559,False,False,1173.0,26.6,24.64,-1.96,0.0,0.0,0.0,8.53,0.0,-8.53,3.84,0.0,-3.84,12.87,21.75,8.88,6.73,13.45,6.72,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.25,-0.5,37.68,36.91,-0.77,2357.0,7.7651,0.8061,
1824,Vefsn,1987-1991,1987,1991,Nordland,Nord-Norge,4,686,False,False,6328.0,58.23,42.81,-15.42,0.0,0.0,0.0,16.59,14.65,-1.94,4.49,4.85,0.36,7.08,12.09,5.01,7.98,20.28,12.3,4.14,3.23,-0.91,0.0,0.0,0.0,1.49,2.09,0.6,0.0,0.0,0.0,13147.0,9.4839,2.0537,
1825,Grane,1987-1991,1987,1991,Nordland,Nord-Norge,6,494,False,False,918.0,52.94,47.2,-5.74,0.0,0.0,0.0,9.91,5.82,-4.09,0.0,4.06,4.06,0.0,20.2,20.2,8.61,12.73,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.54,9.99,-18.55,1761.0,7.4736,-2.6689,
1826,Aarborte - Hattfjelldal,1987-1991,1987,1991,Nordland,Nord-Norge,6,453,False,False,954.0,55.87,44.02,-11.85,0.0,0.0,0.0,0.0,5.72,5.72,0.0,4.39,4.39,0.0,28.6,28.6,10.69,13.18,2.49,0.0,4.09,4.09,0.0,0.0,0.0,0.0,0.0,0.0,33.44,0.0,-33.44,1758.0,7.4719,-1.7065,
1827,Dønna,1987-1991,1987,1991,Nordland,Nord-Norge,6,429,False,False,937.0,40.77,24.53,-16.24,0.0,2.85,2.85,21.99,19.72,-2.27,6.19,4.82,-1.37,17.72,21.03,3.31,8.54,13.91,5.37,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.18,-1.62,0.0,9.97,9.97,1936.0,7.5684,-7.3864,
1828,Nesna,1987-1991,1987,1991,Nordland,Nord-Norge,6,494,False,False,994.0,45.57,37.87,-7.7,0.0,0.0,0.0,19.42,14.51,-4.91,4.93,0.0,-4.93,15.09,25.14,10.05,9.66,15.06,5.4,5.33,5.87,0.54,0.0,0.0,0.0,0.0,1.55,1.55,0.0,0.0,0.0,1770.0,7.4787,-0.2825,
