kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0
1554,Averøy,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,611,False,3245.0,34.61,34.69,0.08,10.2,4.77,-5.43,14.42,8.06,-6.36,14.27,11.16,-3.11,12.67,27.32,14.65,6.93,5.33,-1.6,5.82,6.71,0.89,0.09,0.0,-0.09,0.31,0.49,0.18,0.68,1.45,0.77,9.22,11.03,8.06,5601.0,8.6307,-0.5356,,-7.6772,2.8566,15.765,22.2817,0.2464,7.6592,,,,
1557,Gjemnes,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,576,False,1757.0,27.49,23.19,-4.3,9.85,3.19,-6.66,10.3,7.12,-3.18,17.13,14.23,-2.9,24.93,43.8,18.87,5.63,5.03,-0.6,3.76,2.58,-1.18,0.11,0.0,-0.11,0.46,0.18,-0.28,0.34,0.67,0.33,12.21,33.16,4.58,2905.0,7.9742,-4.2341,,-14.4578,-28.2272,19.2083,19.9312,-0.8761,8.1633,,,,
1560,Tingvoll,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,568,False,2177.0,37.9,36.13,-1.77,8.18,3.3,-4.88,12.59,6.9,-5.69,13.23,11.19,-2.04,15.66,30.78,15.12,7.12,6.1,-1.02,4.32,4.2,-0.12,0.28,0.0,-0.28,0.05,0.25,0.2,0.69,1.15,0.46,10.24,17.57,11.35,3537.0,8.171,-4.4105,,-27.4244,-16.9635,19.9604,21.8264,-0.0255,9.717,,,,
1563,Sunndal,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,640,False,4875.0,46.54,52.45,5.91,8.78,3.29,-5.49,11.71,8.57,-3.14,6.46,5.66,-0.8,9.78,17.77,7.99,11.92,7.18,-4.74,3.16,3.31,0.15,0.25,0.0,-0.25,0.31,0.31,0.0,1.09,1.45,0.36,2.5,13.66,1.26,7554.0,8.9298,0.8737,,-3.4419,11.6495,13.4631,25.417,1.1039,10.0179,,,,
1566,Surnadal,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,607,False,3922.0,40.97,40.13,-0.84,8.69,2.63,-6.06,9.87,7.02,-2.85,10.79,7.98,-2.81,18.89,32.59,13.7,7.62,6.5,-1.12,2.6,2.19,-0.41,0.05,0.0,-0.05,0.08,0.19,0.11,0.43,0.77,0.34,7.64,27.53,4.03,6499.0,8.7794,-0.8155,,-6.9241,-1.6926,18.3721,22.3111,0.0114,7.5033,,,,
1573,Smøla,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,6,501,False,1624.0,38.36,32.84,-5.52,8.0,1.69,-6.31,13.42,9.75,-3.67,10.1,8.06,-2.04,17.06,32.23,15.17,8.93,7.72,-1.21,3.51,7.11,3.6,0.0,0.0,0.0,0.0,0.07,0.07,0.62,0.54,-0.08,8.86,17.65,-2.48,2776.0,7.9288,-5.0432,,-27.7378,-24.1354,18.6239,21.866,-0.8318,5.7522,,,,
1576,Aure,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,6,501,False,2402.0,34.93,31.53,-3.4,6.04,1.56,-4.48,13.61,9.44,-4.17,12.57,9.76,-2.81,20.4,35.84,15.44,6.08,4.45,-1.63,5.37,6.1,0.73,0.25,0.0,-0.25,0.29,0.23,-0.06,0.46,1.1,0.64,10.96,22.79,2.79,3995.0,8.2928,-3.7046,,-22.5282,-20.025,19.4743,19.975,0.2293,6.297,,,,
1577,Volda,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,705,False,5759.0,22.64,20.75,-1.89,8.66,2.76,-5.9,14.74,13.84,-0.9,20.06,15.29,-4.77,14.17,32.34,18.17,9.45,6.58,-2.87,9.55,7.15,-2.4,0.14,0.0,-0.14,0.3,0.25,-0.05,0.3,1.03,0.73,12.27,15.63,6.88,9148.0,9.1213,2.077,,5.9029,14.7573,15.4679,23.0652,0.2207,16.3613,,,,
1578,Fjord,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,6,564,False,1820.0,19.18,17.96,-1.22,8.96,3.74,-5.22,13.85,8.98,-4.87,17.25,12.27,-4.98,25.6,43.06,17.46,7.58,6.75,-0.83,6.48,5.69,-0.79,0.33,0.0,-0.33,0.33,0.33,0.0,0.44,1.23,0.79,12.24,34.22,8.33,3077.0,8.0317,-0.9425,,-5.5249,-3.2499,21.3195,21.287,-0.7158,7.7485,,,,
1579,Hustadvika,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,651,False,7094.0,27.98,24.42,-3.56,16.61,6.36,-10.25,14.87,8.71,-6.16,17.01,13.81,-3.2,13.34,35.28,21.94,6.68,4.9,-1.78,2.89,3.21,0.32,0.13,0.0,-0.13,0.2,0.09,-0.11,0.3,3.24,2.94,11.69,18.56,6.96,11932.0,9.387,0.9219,,-10.3084,19.1921,12.6969,23.4663,0.457,7.1972,,,,
1580,Haram,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,625,False,5307.0,27.94,25.56,-2.38,13.21,5.16,-8.05,17.03,10.99,-6.04,21.29,17.72,-3.57,6.73,27.68,20.95,5.95,4.62,-1.33,6.84,5.77,-1.07,0.15,0.0,-0.15,0.21,0.18,-0.03,0.64,2.32,1.68,12.9,4.36,1.01,8624.0,9.0623,-0.487,,-20.6401,15.8859,14.3553,22.3446,0.9325,8.0801,,,,
1804,Bodø,1989-1993,1989,1993,Nordland,Nord-Norge,3,793,False,22816.0,33.62,38.76,5.14,11.49,4.87,-6.62,27.63,17.41,-10.22,6.39,6.03,-0.36,3.15,15.79,12.64,13.41,9.73,-3.68,2.68,4.49,1.81,0.0,0.12,0.12,1.01,0.92,-0.09,0.62,1.88,1.26,6.02,3.74,4.34,37108.0,10.5216,5.5783,,19.1603,36.6498,9.6529,28.3066,0.1894,16.6877,,,,
