gammelt_nr,navn,start_yr,end_yr,nr_2024
1001,Kristiansand,,2019,4204
1002,Mandal,,2019,4205
1003,Farsund,,2019,4206
1004,Flekkefjord,,2019,4207
1011,Randesund,,1964,
1012,Oddernes,,1964,
1013,Tveit,,1964,
1014,Vennesla,,2019,4223
1015,Hægeland,,1963,
1016,Øvrebø,,1963,
1017,Songdalen,1964,2019,4204
1018,Søgne,,2019,4204
1019,Halse og Harkmark,,1963,
1020,Holum,,1963,
1021,Marnardal,1964,2019,4205
1022,Laudal,,1963,
1023,Finsland,,1963,
1024,Bjelland,,1963,
1025,Grindheim,,1963,
1026,Åseral,,2019,4224
1027,Audnedal,1964,2019,4205
1028,Vigmostad,1911,1963,
1029,Lindesnes,1964,2019,4205
1030,Spangereid,,1963,
1031,Austad,1909,1962,
1032,Lyngdal,,2019,4225
1033,Kvås,1909,1962,
1034,Hægebostad,,2019,4226
1035,Eiken,1916,1962,
1036,Fjotland,,1962,
1037,Kvinesdal,,2019,4227
1038,Feda,,1962,
1039,Herad,,1964,
1040,Spind,,1964,
1041,Lista,,1964,
1042,Hidra,,1964,
1043,Nes,,1964,3228
1044,Gyland,,1964,
1045,Bakke,,1964,
1046,Sirdal,1960,2019,4228
1047,Øvre Sirdal,,1959,
1101,Eigersund,,,1101
1102,Sandnes,,2019,1108
1103,Stavanger,,,1103
1104,Skudeneshavn,,1964,
1105,Kopervik,,1964,
1106,Haugesund,,,1106
1108,Sandnes,,,1108
1111,Sokndal,,,1111
1112,Lund,,,1112
1113,Heskestad,,1964,
1114,Bjerkreim,,,1114
1115,Helleland,,1964,
1116,Eigersund,,1964,1101
1117,Ogna,,1963,
1118,Varhaug,,1963,
1119,Hå,,,1119
1120,Klepp,,,1120
1121,Time,,,1121
1122,Gjesdal,,,1122
1123,Høyland,,1964,
1124,Sola,,,1124
1125,Madla,1930,1964,
1126,Hetland,,1964,
1127,Randaberg,,,1127
1128,Høle,,1964,
1129,Forsand,,2019,1108
1130,Strand,,,1130
1131,Årdal,,1964,4643
1132,Fister,,1964,
1133,Hjelmeland,,,1133
1134,Suldal,,,1134
1135,Sauda,,,1135
1136,Sand,,1964,
1137,Erfjord,1914,1964,
1138,Jelsa,,1964,
1139,Nedstrand,,1964,
1140,Sjernarøy,,1964,
1141,Finnøy,,2019,1103
1142,Rennesøy,,2019,1103
1143,Mosterøy,,1964,
1144,Kvitsøy,,,1144
1145,Bokn,,,1145
1146,Tysvær,,,1146
1147,Avaldsnes,,1964,
1148,Stangaland,1909,1964,
1149,Karmøy,,,1149
1150,Skudenes,,1964,
1151,Utsira,,,1151
1152,Torvastad,,1964,
1153,Skåre,,1957,
1154,Vindafjord,1965,2005,1160
1155,Vats,,1964,
1156,Imsland,1923,1964,
1157,Vikedal,,1964,
1158,Sandeid,1923,1964,
1159,Ølen,2002,2005,1160
1160,Vindafjord,,,1160
1201,Bergen,1972,2019,4601
1211,Etne,,2019,4611
1212,Skånevik,,1964,
1213,Fjelberg,,1964,
1214,Ølen,1916,2001,1160
1215,Vikebygd,,1963,
1216,Sveio,,2019,4612
1217,Valestrand,,1963,
1218,Moster,1916,1962,
1219,Bømlo,1916,2019,4613
1220,Bremnes,1916,1962,
1221,Stord,,2019,4614
1222,Fitjar,,2019,4615
1223,Tysnes,,2019,4616
1224,Kvinnherad,,2019,4617
1225,Varaldsøy,,1964,
1226,Strandebarm,,1964,
1227,Jondal,,2019,4618
1228,Odda,1913,2019,4618
1229,Røldal,,1963,
1230,Ullensvang,,1976,4618
1231,Ullensvang,1977,2019,4618
1232,Eidfjord,,2019,4619
1233,Ulvik,,2019,4620
1234,Granvin,,2019,4621
1235,Voss,,2019,4621
1236,Vossestrand,,1963,
1237,Evanger,,1963,
1238,Kvam,,2019,4622
1239,Hålandsdal,,1963,
1240,Strandvik,,1963,
1241,Fusa,,2019,4624
1242,Samnanger,1907,2019,4623
1243,Os (Hordaland),,2019,4624
1244,Austevoll,,2019,4625
1245,Sund,,2019,4626
