kom2024,parti,stemmer
3112,07,43
3112,08,12
3112,10,14
3112,15,7
3114,01,534
3114,02,479
3114,03,583
3114,04,196
3114,05,304
3114,06,196
3114,07,44
3114,08,4
3114,10,7
3114,15,7
3116,01,603
3116,02,246
3116,03,273
3116,04,237
3116,05,339
3116,06,124
3116,07,48
3116,08,6
3116,10,3
3116,15,14
3118,01,7016
3118,02,3336
3118,03,4190
3118,04,2033
3118,05,2640
3118,06,1773
3118,07,466
3118,08,79
3118,10,147
3118,15,58
3120,01,1445
3120,02,500
3120,03,576
3120,04,765
3120,05,959
3120,06,204
3120,07,63
3120,08,11
3120,10,13
3120,15,2
3122,01,870
3122,02,171
3122,03,254
3122,04,399
3122,05,344
3122,06,107
3122,07,18
3122,08,9
3122,10,11
3122,15,2
3124,01,382
3124,02,68
3124,03,128
3124,04,171
3124,05,165
3124,06,45
3124,07,9
3124,08,7
3124,10,2
3201,01,11196
3201,02,8895
3201,03,26639
3201,04,1939
3201,05,956
3201,06,5017
3201,07,2194
3201,08,400
3201,14,313
3201,15,410
3203,01,10768
3203,02,6301
3203,03,14365
3203,04,1679
3203,05,1006
3203,06,3774
3203,07,1477
3203,08,229
3203,14,213
3203,15,254
3205,01,14151
3205,02,4611
3205,03,7854
3205,04,1466
3205,05,1741
3205,06,3730
3205,07,690
3205,08,132
3205,14,194
3205,15,174
3207,01,7104
3207,02,4378
3207,03,9663
3207,04,1163
3207,05,771
3207,06,2886
3207,07,797
3207,08,149
3207,14,120
3207,15,139
3209,01,4076
3209,02,2011
3209,03,2649
3209,04,473
3209,05,923
3209,06,1043
3209,07,256
3209,08,46
3209,14,67
3209,15,42
3212,01,2052
3212,02,1269
3212,03,2336
3212,04,352
3212,05,170
3212,06,1241
3212,07,263
3212,08,94
3212,14,33
3212,15,109
3214,01,1578
3214,02,1159
3214,03,2102
3214,04,206
3214,05,353
3214,06,617
3214,07,249
3214,08,22
3214,14,24
3214,15,21
3216,01,1898
3216,02,1175
3216,03,1943
3216,04,242
3216,05,496
3216,06,558
3216,07,153
3216,08,47
3216,14,25
3216,15,49
3218,01,2039
3218,02,954
3218,03,1975
3218,04,372
3218,05,925
3218,06,863
3218,07,286
3218,08,48
3218,14,34
3218,15,68
3220,01,1572
3220,02,879
3220,03,1001
3220,04,336
3220,05,348
3220,06,493
3220,07,131
3220,08,19
3220,14,29
3220,15,18
3222,01,6109
3222,02,2490
3222,03,4065
3222,04,629
3222,05,383
3222,06,1953
3222,07,393
3222,08,56
3222,14,90
3222,15,110
3224,01,3261
3224,02,1248
3224,03,1931
3224,04,363
3224,05,245
3224,06,1005
3224,07,156
3224,08,38
3224,14,57
3224,15,39
3226,01,4028
3226,02,964
3226,03,1011
3226,04,770
3226,05,1132
3226,06,588
3226,07,106
3226,08,23
3226,10,1
3226,14,30
3226,15,7
3228,01,4880
3228,02,1128
3228,03,1215
3228,04,443
3228,05,1108
3228,06,991
3228,07,156
3228,08,21
3228,14,33
3228,15,13
3230,01,730
3230,02,360
3230,03,530
3230,04,177
3230,05,327
3230,06,195
3230,07,32
3230,08,8
3230,14,5
3230,15,8
3232,01,3399
3232,02,1838
3232,03,2755
3232,04,345
3232,05,317
3232,06,1069
3232,07,275
3232,08,53
3232,14,76
3232,15,42
3234,01,2144
3234,02,585
3234,03,762
3234,04,267
3234,05,494
3234,06,521
3234,07,72
3234,08,17
3234,15,16
3236,01,1898
3236,02,435
3236,03,687
3236,04,144
3236,05,182
3236,06,436
3236,07,29
3236,08,8
3236,15,21
3238,01,2072
3238,02,751
3238,03,768
3238,04,310
3238,05,487
3238,06,480
3238,07,93
3238,08,18
3238,14,17
3238,15,12
3240,01,4774
3240,02,1416
3240,03,1620
3240,04,526
3240,05,806
3240,06,1069
3240,07,177
3240,08,24
3240,14,42
3240,15,31
3242,01,722
3242,02,150
3242,03,196
3242,04,200
3242,05,161
3242,06,141
3242,07,77
3242,08,3
3242,14,2
3242,15,4
3301,01,19350
3301,02,7937
3301,03,13896
3301,04,2484
3301,05,742
3301,06,3265
3301,07,670
3301,08,232
3301,10,16
3301,14,333
3301,15,268
3303,01,5302
3303,02,1852
3303,03,3268
3303,04,517
3303,05,731
3303,06,1279
3303,07,491
3303,08,31
3303,14,45
3303,15,66
3305,01,8422
3305,02,2181
3305,03,3556
3305,04,627
3305,05,849
3305,06,1610
3305,07,288
3305,08,56
3305,14,166
3305,15,86
3310,01,901
3310,02,456
3310,03,849
3310,04,126
3310,05,285
3310,06,172
3310,07,65
3310,08,16
3310,14,24
3310,15,4
3312,01,4124
3312,02,1776
3312,03,3436
3312,04,471
3312,05,762
3312,06,875
3312,07,224
3312,08,44
3312,14,55
3312,15,43
3314,01,3625
