kom2024,parti,stemmer
3424,05,349
3424,06,177
3424,07,23
3424,08,5
3424,15,5
3425,01,508
3425,02,64
3425,03,143
3425,04,19
3425,05,252
3425,06,59
3425,07,44
3425,08,2
3425,15,2
3426,01,355
3426,02,49
3426,03,95
3426,04,42
3426,05,470
3426,06,114
3426,07,28
3426,08,4
3426,15,8
3427,01,1229
3427,02,219
3427,03,386
3427,04,171
3427,05,887
3427,06,361
3427,07,146
3427,08,12
3427,15,13
3428,01,586
3428,02,65
3428,03,147
3428,04,86
3428,05,484
3428,06,93
3428,07,96
3428,08,7
3428,15,2
3429,01,674
3429,02,69
3429,03,79
3429,04,30
3429,05,389
3429,06,86
3429,07,15
3429,08,2
3429,15,5
3430,01,535
3430,02,45
3430,03,63
3430,04,75
3430,05,381
3430,06,156
3430,07,22
3430,08,9
3430,15,2
3431,01,898
3431,02,192
3431,03,263
3431,04,47
3431,05,435
3431,06,150
3431,07,25
3431,08,4
3431,15,2
3432,01,552
3432,02,107
3432,03,169
3432,04,121
3432,05,496
3432,06,92
3432,07,33
3432,08,6
3432,15,2
3433,01,690
3433,02,112
3433,03,127
3433,04,51
3433,05,448
3433,06,141
3433,07,42
3433,08,6
3433,15,2
3434,01,690
3434,02,76
3434,03,108
3434,04,78
3434,05,438
3434,06,151
3434,07,39
3434,08,4
3434,15,1
3435,01,1357
3435,02,148
3435,03,174
3435,04,47
3435,05,547
3435,06,227
3435,07,37
3435,08,4
3435,15,4
3436,01,2135
3436,02,300
3436,03,363
3436,04,144
3436,05,570
3436,06,336
3436,07,54
3436,08,11
3436,15,12
3437,01,2194
3437,02,284
3437,03,371
3437,04,114
3437,05,503
3437,06,465
3437,07,45
3437,08,23
3437,15,11
3438,01,1264
3438,02,170
3438,03,196
3438,04,59
3438,05,417
3438,06,124
3438,07,25
3438,08,3
3438,15,1
3439,01,1714
3439,02,236
3439,03,317
3439,04,159
3439,05,605
3439,06,209
3439,07,50
3439,08,12
3439,15,7
3440,01,1327
3440,02,203
3440,03,299
3440,04,178
3440,05,593
3440,06,230
3440,07,55
3440,08,10
3440,15,5
3441,01,2035
3441,02,322
3441,03,258
3441,04,185
3441,05,735
3441,06,443
3441,07,95
3441,08,12
3441,15,11
3442,01,4707
3442,02,931
3442,03,1041
3442,04,578
3442,05,1289
3442,06,641
3442,07,185
3442,08,23
3442,15,24
3443,01,4592
3443,02,825
3443,03,1078
3443,04,484
3443,05,694
3443,06,711
3443,07,130
3443,08,16
3443,15,36
3446,01,3771
3446,02,936
3446,03,1022
3446,04,439
3446,05,1177
3446,06,623
3446,07,138
3446,08,20
3446,15,24
3447,01,2500
3447,02,350
3447,03,323
3447,04,97
3447,05,327
3447,06,449
3447,07,91
3447,08,26
3447,15,19
3448,01,2687
3448,02,349
3448,03,366
3448,04,187
3448,05,448
3448,06,372
3448,07,97
3448,08,7
3448,15,11
3449,01,1022
3449,02,188
3449,03,224
3449,04,252
3449,05,376
3449,06,133
3449,07,31
3449,08,3
3449,15,4
3450,01,443
3450,02,97
3450,03,89
3450,04,119
3450,05,246
3450,06,53
3450,07,25
3450,08,1
3450,15,3
3451,01,1670
3451,02,481
3451,03,624
3451,04,350
3451,05,660
3451,06,221
3451,07,100
3451,08,6
3452,01,535
3452,02,198
3452,03,118
3452,04,95
3452,05,407
3452,06,64
3452,07,51
3452,08,2
3452,15,2
3453,01,705
3453,02,181
3453,03,239
3453,04,127
3453,05,469
3453,06,126
3453,07,88
3453,08,5
3453,15,4
3454,01,343
3454,02,112
3454,03,102
3454,04,79
3454,05,343
3454,06,35
3454,07,18
3454,08,3
3454,15,4
3901,01,5076
3901,02,2184
3901,03,4087
3901,04,742
3901,05,336
3901,06,1381
3901,07,297
3901,08,64
3901,10,116
3901,15,79
3903,01,5708
3903,02,2567
3903,03,3636
3903,04,1172
3903,05,1734
3903,06,1147
3903,07,323
3903,08,71
3903,10,78
3903,15,58
3905,01,5929
3905,02,3390
3905,03,6671
3905,04,1535
3905,05,538
3905,06,1803
3905,07,441
3905,08,117
3905,10,158
3905,15,138
3907,01,8047
3907,02,5511
3907,03,9850
3907,04,2517
3907,05,1288
3907,06,2500
3907,07,931
3907,08,185
3907,10,254
3907,15,162
3909,01,8387
3909,02,3988
3909,03,6255
3909,04,2082
3909,05,1436
3909,06,2299
3909,07,976
3909,08,71
3909,10,256
3909,15,94
3911,01,3454
3911,02,2690
3911,03,5076
3911,04,770
3911,05,242
3911,06,1095
3911,07,408
3911,08,121
3911,10,72
3911,15,121
4001,01,7743
4001,02,2742
4001,03,4050
4001,04,1730
4001,05,272
4001,06,2984
4001,07,485
4001,08,68
4001,10,123
4001,15,107
4003,01,10310
4003,02,4485
4003,03,5844
4003,04,3116
4003,05,747
4003,06,4327
4003,07,713
4003,08,90
4003,10,220
4003,15,164
4005,01,3829
4005,02,896
4005,03,1065
