kode,aar,kom2024,andel,metode
1233,1945,4620,1.0,1951-oversetting
1234,1945,4621,1.0,1951-oversetting
1235,1945,4621,1.0,1951-oversetting
1236,1945,4621,1.0,1951-oversetting
1237,1945,4621,0.810709,1951-oversetting
1237,1945,4628,0.189291,1951-oversetting
1238,1945,4622,1.0,1951-oversetting
1239,1945,4624,1.0,1951-oversetting
1240,1945,4624,1.0,1951-oversetting
1241,1945,4624,1.0,1951-oversetting
1242,1945,4623,1.0,1951-oversetting
1243,1945,4624,1.0,1951-oversetting
1244,1945,4625,1.0,1951-oversetting
1245,1945,4626,1.0,1951-oversetting
1246,1945,4626,1.0,1951-oversetting
1247,1945,4627,1.0,1951-oversetting
1248,1945,4601,1.0,1951-oversetting
1249,1945,4601,1.0,1951-oversetting
1250,1945,4601,0.785391,1951-oversetting
1250,1945,4630,0.214609,1951-oversetting
1251,1945,4628,0.927904,1951-oversetting
1251,1945,4630,0.072096,1951-oversetting
1252,1945,4628,0.300199,1951-oversetting
1252,1945,4629,0.675944,1951-oversetting
1252,1945,4631,0.023857,1951-oversetting
1253,1945,4630,0.671375,1951-oversetting
1253,1945,4631,0.328625,1951-oversetting
1254,1945,4630,0.453344,1951-oversetting
1254,1945,4631,0.546656,1951-oversetting
1255,1945,4601,1.0,1951-oversetting
1256,1945,4627,0.111368,1951-oversetting
1256,1945,4631,0.888632,1951-oversetting
1257,1945,4631,1.0,1951-oversetting
1258,1945,4626,0.513262,1951-oversetting
1258,1945,4627,0.316663,1951-oversetting
1258,1945,4631,0.170075,1951-oversetting
1259,1945,4626,1.0,1951-oversetting
1260,1945,4631,1.0,1951-oversetting
1261,1945,4631,1.0,1951-oversetting
1262,1945,4631,1.0,1951-oversetting
1263,1945,4631,1.0,1951-oversetting
1264,1945,4632,1.0,1951-oversetting
1265,1945,4633,1.0,1951-oversetting
1266,1945,4634,1.0,1951-oversetting
1301,1945,4601,1.0,1951-oversetting
1401,1945,4602,1.0,1951-oversetting
1411,1945,4635,1.0,1951-oversetting
1412,1945,4636,1.0,1951-oversetting
1413,1945,4637,1.0,1951-oversetting
1414,1945,4635,1.0,1951-oversetting
1415,1945,4638,1.0,1951-oversetting
1416,1945,4638,1.0,1951-oversetting
1417,1945,4639,0.870264,1951-oversetting
1417,1945,4640,0.129736,1951-oversetting
1418,1945,4639,0.104883,1951-oversetting
1418,1945,4640,0.895117,1951-oversetting
1419,1945,4640,1.0,1951-oversetting
1420,1945,4640,1.0,1951-oversetting
1421,1945,4641,1.0,1951-oversetting
1422,1945,4642,1.0,1951-oversetting
1423,1945,4642,1.0,1951-oversetting
1424,1945,4643,1.0,1951-oversetting
1425,1945,4644,1.0,1951-oversetting
1426,1945,4644,1.0,1951-oversetting
1427,1945,4644,1.0,1951-oversetting
1428,1945,4645,1.0,1951-oversetting
1429,1945,4646,1.0,1951-oversetting
1430,1945,4647,1.0,1951-oversetting
1431,1945,4647,1.0,1951-oversetting
1432,1945,4647,1.0,1951-oversetting
1433,1945,4647,1.0,1951-oversetting
1434,1945,4602,0.028703,1951-oversetting
1434,1945,4645,0.467279,1951-oversetting
1434,1945,4647,0.504018,1951-oversetting
1435,1945,4602,1.0,1951-oversetting
1436,1945,4602,0.926223,1951-oversetting
1436,1945,4645,0.073777,1951-oversetting
1437,1945,4602,1.0,1951-oversetting
1438,1945,4648,1.0,1951-oversetting
1439,1945,4602,1.0,1951-oversetting
1440,1945,4602,1.0,1951-oversetting
1441,1945,4649,1.0,1951-oversetting
1442,1945,4602,0.346537,1951-oversetting
1442,1945,4648,0.461043,1951-oversetting
1442,1945,4649,0.19242,1951-oversetting
1443,1945,4649,1.0,1951-oversetting
1444,1945,1577,0.126187,1951-oversetting
1444,1945,4649,0.207497,1951-oversetting
1444,1945,4651,0.666316,1951-oversetting
1445,1945,4650,1.0,1951-oversetting
1446,1945,4647,0.021481,1951-oversetting
1446,1945,4650,0.978519,1951-oversetting
1447,1945,1577,0.159226,1951-oversetting
1447,1945,4651,0.840774,1951-oversetting
1448,1945,1577,0.159226,1951-oversetting
1448,1945,4651,0.840774,1951-oversetting
1501,1945,1508,0.846071,1951-oversetting
1501,1945,1531,0.153929,1951-oversetting
1502,1945,1506,1.0,1951-oversetting
1503,1945,1505,1.0,1951-oversetting
1511,1945,1511,1.0,1951-oversetting
1512,1945,1511,1.0,1951-oversetting
1513,1945,1511,0.436874,1951-oversetting
1513,1945,1514,0.563126,1951-oversetting
1514,1945,1514,1.0,1951-oversetting
1515,1945,1515,1.0,1951-oversetting
1516,1945,1516,1.0,1951-oversetting
1517,1945,1517,1.0,1951-oversetting
1518,1945,1577,1.0,1951-oversetting
1519,1945,1577,1.0,1951-oversetting
1520,1945,1520,1.0,1951-oversetting
1521,1945,1520,1.0,1951-oversetting
1522,1945,1520,1.0,1951-oversetting
1523,1945,1525,1.0,1951-oversetting
1524,1945,1578,1.0,1951-oversetting
1525,1945,1525,1.0,1951-oversetting
1526,1945,1508,0.802163,1951-oversetting
1526,1945,1578,0.197837,1951-oversetting
1527,1945,1508,0.662935,1951-oversetting
1527,1945,1528,0.173566,1951-oversetting
1527,1945,1578,0.163499,1951-oversetting
1528,1945,1528,1.0,1951-oversetting
1529,1945,1508,0.802163,1951-oversetting
1529,1945,1578,0.197837,1951-oversetting
1530,1945,1506,0.128759,1951-oversetting
1530,1945,1580,0.871241,1951-oversetting
1531,1945,1508,0.846071,1951-oversetting
1531,1945,1531,0.153929,1951-oversetting
1532,1945,1532,1.0,1951-oversetting
1533,1945,1532,1.0,1951-oversetting
1534,1945,1580,1.0,1951-oversetting
1535,1945,1535,1.0,1951-oversetting
1536,1945,1535,1.0,1951-oversetting
1537,1945,1539,1.0,1951-oversetting
1538,1945,1539,1.0,1951-oversetting
1539,1945,1539,1.0,1951-oversetting
1540,1945,1539,1.0,1951-oversetting
1541,1945,1506,0.350649,1951-oversetting
1541,1945,1539,0.649351,1951-oversetting
1542,1945,1506,1.0,1951-oversetting
1543,1945,1506,1.0,1951-oversetting
1544,1945,1506,1.0,1951-oversetting
1545,1945,1506,1.0,1951-oversetting
1546,1945,1508,1.0,1951-oversetting
1547,1945,1506,0.028969,1951-oversetting
1547,1945,1547,0.971031,1951-oversetting
1548,1945,1579,1.0,1951-oversetting
1549,1945,1579,1.0,1951-oversetting
1550,1945,1579,1.0,1951-oversetting
1551,1945,1579,1.0,1951-oversetting
1552,1945,1554,0.706986,1951-oversetting
1552,1945,1579,0.293014,1951-oversetting
1553,1945,1554,1.0,1951-oversetting
1554,1945,1505,0.3694,1951-oversetting
1554,1945,1554,0.6306,1951-oversetting
1555,1945,1505,1.0,1951-oversetting
1556,1945,1505,1.0,1951-oversetting
1557,1945,1557,1.0,1951-oversetting
1558,1945,1557,1.0,1951-oversetting
