kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
1112,1987,03,282,1647,17.12
1112,1987,04,465,1647,28.23
1112,1987,05,216,1647,13.11
1112,1987,06,0,1647,0.0
1112,1987,07,124,1647,7.53
1112,1987,08,0,1647,0.0
1112,1987,55,0,1647,0.0
1112,1991,01,365,1550,23.55
1112,1991,02,0,1550,0.0
1112,1991,03,340,1550,21.94
1112,1991,04,411,1550,26.52
1112,1991,05,331,1550,21.35
1112,1991,06,0,1550,0.0
1112,1991,07,103,1550,6.65
1112,1991,08,0,1550,0.0
1112,1991,55,0,1550,0.0
1112,1995,01,352,1509,23.33
1112,1995,02,127,1509,8.42
1112,1995,03,231,1509,15.31
1112,1995,04,404,1509,26.77
1112,1995,05,338,1509,22.4
1112,1995,06,0,1509,0.0
1112,1995,07,57,1509,3.78
1112,1995,08,0,1509,0.0
1112,1995,55,0,1509,0.0
1112,1999,01,324,1472,22.01
1112,1999,02,222,1472,15.08
1112,1999,03,188,1472,12.77
1112,1999,04,379,1472,25.75
1112,1999,05,274,1472,18.61
1112,1999,06,0,1472,0.0
1112,1999,07,85,1472,5.77
1112,1999,08,0,1472,0.0
1112,1999,55,0,1472,0.0
1112,2003,01,259,1458,17.76
1112,2003,02,351,1458,24.07
1112,2003,03,146,1458,10.01
1112,2003,04,376,1458,25.79
1112,2003,05,243,1458,16.67
1112,2003,06,0,1458,0.0
1112,2003,07,83,1458,5.69
1112,2003,08,0,1458,0.0
1112,2003,55,0,1458,0.0
1112,2007,01,337,1603,21.02
1112,2007,02,391,1603,24.39
1112,2007,03,104,1603,6.49
1112,2007,04,373,1603,23.27
1112,2007,05,288,1603,17.97
1112,2007,06,0,1603,0.0
1112,2007,07,110,1603,6.86
1112,2007,08,0,1603,0.0
1112,2007,55,0,1603,0.0
1112,2011,01,499,1627,30.67
1112,2011,02,272,1627,16.72
1112,2011,03,227,1627,13.95
1112,2011,04,361,1627,22.19
1112,2011,05,193,1627,11.86
1112,2011,06,0,1627,0.0
1112,2011,07,75,1627,4.61
