kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,estimert,sikkerhet
1506,Molde,1945,07,648.0,6055.81,10.7,True,lav
1506,Molde,1945,08,0.0,6055.81,0.0,True,lav
1506,Molde,1945,55,0.0,6055.81,0.0,True,lav
1506,Molde,1945,09,471.0,6055.81,7.78,True,lav
1506,Molde,1945,90,1014.96,6055.81,16.76,True,lav
1506,Molde,1945,99,950.95,6055.81,15.7,True,lav
1508,Ålesund,1945,01,3391.9,12821.32,26.46,True,lav
1508,Ålesund,1945,02,0.0,12821.32,0.0,True,lav
1508,Ålesund,1945,03,1021.21,12821.32,7.96,True,lav
1508,Ålesund,1945,04,970.44,12821.32,7.57,True,lav
1508,Ålesund,1945,05,0.0,12821.32,0.0,True,lav
1508,Ålesund,1945,06,0.0,12821.32,0.0,True,lav
1508,Ålesund,1945,07,1583.84,12821.32,12.35,True,lav
1508,Ålesund,1945,08,0.0,12821.32,0.0,True,lav
1508,Ålesund,1945,55,0.0,12821.32,0.0,True,lav
1508,Ålesund,1945,09,887.53,12821.32,6.92,True,lav
1508,Ålesund,1945,90,117.34,12821.32,0.92,True,lav
1508,Ålesund,1945,99,4849.05,12821.32,37.82,True,lav
1511,Vanylven,1945,01,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,02,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,03,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,04,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,05,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,06,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,07,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,08,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,55,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,09,0.0,179.12,0.0,True,lav
1511,Vanylven,1945,90,12.23,179.12,6.83,True,lav
1511,Vanylven,1945,99,166.89,179.12,93.17,True,lav
1514,Sande,1945,01,0.0,1313.88,0.0,True,lav
1514,Sande,1945,02,0.0,1313.88,0.0,True,lav
1514,Sande,1945,03,0.0,1313.88,0.0,True,lav
1514,Sande,1945,04,0.0,1313.88,0.0,True,lav
1514,Sande,1945,05,0.0,1313.88,0.0,True,lav
1514,Sande,1945,06,0.0,1313.88,0.0,True,lav
1514,Sande,1945,07,0.0,1313.88,0.0,True,lav
1514,Sande,1945,08,0.0,1313.88,0.0,True,lav
1514,Sande,1945,55,0.0,1313.88,0.0,True,lav
1514,Sande,1945,09,0.0,1313.88,0.0,True,lav
1514,Sande,1945,90,15.77,1313.88,1.2,True,lav
1514,Sande,1945,99,1298.11,1313.88,98.8,True,lav
1515,Herøy (Møre og Romsdal),1945,01,109.0,2272.0,4.8,False,lav
1515,Herøy (Møre og Romsdal),1945,02,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,03,0.0,2272.0,0.0,False,lav
1515,Herøy (Møre og Romsdal),1945,04,0.0,2272.0,0.0,False,lav
