kom2024,navn,aar,parti,stemmer,total_stemmer,prosent
1120,Klepp,2009,06,237,8475,2.8
1120,Klepp,2009,07,273,8475,3.22
1120,Klepp,2009,08,20,8475,0.24
1120,Klepp,2009,55,28,8475,0.33
1120,Klepp,2013,01,1522,9299,16.37
1120,Klepp,2013,02,2100,9299,22.58
1120,Klepp,2013,03,2829,9299,30.42
1120,Klepp,2013,04,1279,9299,13.75
1120,Klepp,2013,05,911,9299,9.8
1120,Klepp,2013,06,172,9299,1.85
1120,Klepp,2013,07,302,9299,3.25
1120,Klepp,2013,08,157,9299,1.69
1120,Klepp,2013,55,27,9299,0.29
1120,Klepp,2017,01,1653,9946,16.62
1120,Klepp,2017,02,2550,9946,25.64
1120,Klepp,2017,03,2840,9946,28.55
1120,Klepp,2017,04,1060,9946,10.66
1120,Klepp,2017,05,1118,9946,11.24
1120,Klepp,2017,06,252,9946,2.53
1120,Klepp,2017,07,240,9946,2.41
1120,Klepp,2017,08,163,9946,1.64
1120,Klepp,2017,55,70,9946,0.7
1120,Klepp,2021,01,1754,10232,17.14
1120,Klepp,2021,02,2448,10232,23.92
1120,Klepp,2021,03,2162,10232,21.13
1120,Klepp,2021,04,1242,10232,12.14
1120,Klepp,2021,05,1606,10232,15.7
1120,Klepp,2021,06,418,10232,4.09
1120,Klepp,2021,07,206,10232,2.01
1120,Klepp,2021,08,134,10232,1.31
1120,Klepp,2021,55,262,10232,2.56
1120,Klepp,2025,01,1921,11170,17.2
1120,Klepp,2025,02,4150,11170,37.15
1120,Klepp,2025,03,1506,11170,13.48
1120,Klepp,2025,04,1409,11170,12.61
1120,Klepp,2025,05,894,11170,8.0
1120,Klepp,2025,06,379,11170,3.39
1120,Klepp,2025,07,229,11170,2.05
1120,Klepp,2025,08,213,11170,1.91
1120,Klepp,2025,55,469,11170,4.2
1121,Time,1989,01,3138,8758,35.83
1121,Time,1989,02,932,8758,10.64
1121,Time,1989,03,1533,8758,17.5
1121,Time,1989,04,1224,8758,13.98
1121,Time,1989,05,1120,8758,12.79
1121,Time,1989,06,457,8758,5.22
1121,Time,1989,07,340,8758,3.88
1121,Time,1989,08,14,8758,0.16
1121,Time,1993,01,1749,6916,25.29
1121,Time,1993,02,443,6916,6.41
1121,Time,1993,03,1089,6916,15.75
1121,Time,1993,04,1115,6916,16.12
1121,Time,1993,05,1867,6916,27.0
1121,Time,1993,06,389,6916,5.62
1121,Time,1993,07,259,6916,3.74
1121,Time,1993,08,5,6916,0.07
