kom2024,medianinntekt_2021,medianinntekt_2024,antall_25_44_2021
4641,557000.0,638800.0,481
4642,576000.0,703200.0,438
4643,577000.0,685200.0,1110
4644,586000.0,694600.0,1136
4645,575000.0,683200.0,573
4646,495000.0,597600.0,572
4647,623000.0,735300.0,5534
4648,566000.0,676900.0,661
4649,604000.0,707800.0,2055
4650,595000.0,712700.0,1240
4651,566000.0,666000.0,1620
1505,528000.0,634200.0,6017
1506,574000.0,680200.0,7761
1508,579000.0,691800.0,17984
1511,586000.0,670600.0,567
1514,543000.0,646900.0,488
1515,625000.0,737000.0,2056
1516,611000.0,736500.0,2098
1517,579000.0,687100.0,1314
1520,584000.0,701100.0,2594
1525,591000.0,691200.0,1077
1528,598000.0,688700.0,1714
1531,637000.0,743800.0,2493
1532,679000.0,810000.0,2211
1535,564000.0,653700.0,1538
1539,548000.0,658700.0,1556
1547,601000.0,713800.0,850
1554,618000.0,711800.0,1290
1557,582000.0,674500.0,597
1560,562000.0,647300.0,567
1563,564000.0,663200.0,1470
1566,544000.0,647000.0,1218
1573,521000.0,625200.0,452
1576,551000.0,642100.0,696
1577,566000.0,671000.0,2594
1578,547000.0,677700.0,445
1579,585000.0,698700.0,3285
5001,553000.0,659600.0,64704
5006,539000.0,645600.0,5471
5007,558000.0,657100.0,3405
5014,549000.0,623400.0,1539
5020,502000.0,609700.0,168
5021,546000.0,647000.0,1515
5022,536000.0,635600.0,439
5025,539000.0,636100.0,1217
5026,560000.0,657600.0,383
5027,554000.0,662800.0,1505
5028,613000.0,726400.0,4305
5029,675000.0,807200.0,2266
5031,668000.0,795000.0,3671
5032,571000.0,678100.0,880
5033,547000.0,639100.0,134
5034,503000.0,586600.0,500
5035,582000.0,693200.0,5718
5036,574000.0,664600.0,563
5037,578000.0,689900.0,4835
5038,541000.0,646200.0,3487
5041,549000.0,661000.0,396
5042,555000.0,668600.0,235
5043,533000.0,609500.0,86
5044,497000.0,580800.0,152
5045,533000.0,619100.0,487
5046,568000.0,665100.0,224
5047,627000.0,711700.0,952
5049,588000.0,648700.0,227
5052,541000.0,665800.0,95
5053,599000.0,708600.0,1449
5054,551000.0,652000.0,2035
5055,557000.0,646300.0,1226
5056,521000.0,619000.0,1360
5057,544000.0,657700.0,2429
5058,550000.0,661400.0,820
5059,557000.0,672100.0,4203
5060,566000.0,676500.0,2285
5061,577000.0,674700.0,403
1804,586000.0,689600.0,14703
1806,548000.0,654100.0,5222
1811,538000.0,591000.0,232
1812,539000.0,605700.0,405
1813,572000.0,646300.0,1771
1815,563000.0,618400.0,205
1816,508000.0,642900.0,78
1818,551000.0,626400.0,428
1820,555000.0,651000.0,1694
1822,568000.0,667100.0,541
1824,535000.0,649400.0,3040
1825,525000.0,620900.0,294
1826,509000.0,613200.0,216
1827,528000.0,629400.0,256
1828,525000.0,607300.0,365
1832,529000.0,637500.0,978
1833,565000.0,684300.0,6314
1834,542000.0,623000.0,413
1835,491000.0,559500.0,125
1836,571000.0,654500.0,219
1837,574000.0,667300.0,1337
1838,533000.0,617000.0,388
1839,501000.0,559300.0,175
1840,561000.0,652800.0,989
1841,548000.0,660300.0,2210
1845,539000.0,638300.0,369
1848,523000.0,633700.0,565
1851,523000.0,584000.0,335
1853,549000.0,623900.0,235
1856,508000.0,595300.0,98
1857,455000.0,527400.0,158
1859,537000.0,600300.0,234
1860,542000.0,657800.0,2779
1865,526000.0,611200.0,2466
1866,539000.0,640000.0,1859
1867,483000.0,563600.0,466
1868,520000.0,597200.0,1007
1870,551000.0,656100.0,2562
1871,538000.0,637900.0,931
1874,452000.0,520900.0,252
1875,487000.0,624000.0,572
5501,563000.0,658600.0,23595
5503,554000.0,663500.0,6214
5601,610000.0,722600.0,5444
5634,459000.0,527000.0,467
5607,563000.0,649000.0,1250
5603,578000.0,681600.0,3083
5510,562000.0,663400.0,604
5512,543000.0,647800.0,849
5514,482000.0,563300.0,217
5516,474000.0,579400.0,204
5518,544000.0,640800.0,194
5520,569000.0,668300.0,998
5522,522000.0,592900.0,402
5524,556000.0,646500.0,1614
5526,572000.0,661500.0,774
5528,501000.0,601900.0,179
5530,547000.0,644200.0,3335
5532,511000.0,618000.0,1167
5534,518000.0,615700.0,429
5536,540000.0,647900.0,505
5538,532000.0,631800.0,366
5540,513000.0,591800.0,417
5542,532000.0,617400.0,731
5544,561000.0,662100.0,1079
5546,514000.0,594000.0,215
5612,579000.0,691100.0,745
5614,474000.0,544000.0,176
5616,477000.0,550400.0,254
5618,511000.0,571700.0,284
5620,518000.0,621100.0,712
5622,542000.0,653000.0,857
5610,576000.0,682200.0,621
5624,492000.0,549900.0,285
5626,419000.0,503600.0,296
5630,506000.0,560900.0,221
5628,537000.0,623900.0,616
5636,468000.0,594400.0,194
5632,522000.0,592700.0,620
5605,559000.0,657700.0,2563
