kom2024,sent_klasse,sent_indeks,sent_navn,sent_gammel_0_3,gammel_konflikt
4201,4,709,Sentralitet: 4 (670-774),2,False
4202,3,809,Sentralitet: 3 (775-869),3,False
4203,3,805,Sentralitet: 3 (775-869),3,False
4204,3,832,Sentralitet: 3 (775-869),3,False
4205,4,733,Sentralitet: 4 (670-774),3,False
4206,4,686,Sentralitet: 4 (670-774),1,False
4207,4,689,Sentralitet: 4 (670-774),1,False
4211,5,661,Sentralitet: 5 (565-669),2,False
4212,5,653,Sentralitet: 5 (565-669),2,False
4213,4,729,Sentralitet: 4 (670-774),2,False
4214,4,726,Sentralitet: 4 (670-774),3,False
4215,3,788,Sentralitet: 3 (775-869),3,False
4216,4,705,Sentralitet: 4 (670-774),3,False
4217,5,591,Sentralitet: 5 (565-669),2,False
4218,5,624,Sentralitet: 5 (565-669),3,False
4219,4,691,Sentralitet: 4 (670-774),3,False
4220,6,551,Sentralitet: 6 (0-564) - lav,3,False
4221,6,466,Sentralitet: 6 (0-564) - lav,0,False
4222,6,467,Sentralitet: 6 (0-564) - lav,0,False
4223,3,775,Sentralitet: 3 (775-869),3,False
4224,6,536,Sentralitet: 6 (0-564) - lav,3,False
4225,4,695,Sentralitet: 4 (670-774),3,False
4226,5,575,Sentralitet: 5 (565-669),3,False
4227,5,650,Sentralitet: 5 (565-669),1,False
4228,5,575,Sentralitet: 5 (565-669),1,False
4601,2,895,Sentralitet: 2 (870-924),3,False
4602,5,663,Sentralitet: 5 (565-669),1,True
4611,5,604,Sentralitet: 5 (565-669),0,False
4612,4,673,Sentralitet: 4 (670-774),2,False
4613,5,644,Sentralitet: 5 (565-669),1,False
4614,4,746,Sentralitet: 4 (670-774),1,False
4615,5,603,Sentralitet: 5 (565-669),1,False
4616,5,578,Sentralitet: 5 (565-669),1,False
4617,5,587,Sentralitet: 5 (565-669),0,False
4618,5,583,Sentralitet: 5 (565-669),1,True
4619,6,531,Sentralitet: 6 (0-564) - lav,0,False
4620,6,529,Sentralitet: 6 (0-564) - lav,1,False
4621,4,720,Sentralitet: 4 (670-774),1,False
4622,4,674,Sentralitet: 4 (670-774),3,False
4623,4,683,Sentralitet: 4 (670-774),3,False
4624,4,766,Sentralitet: 4 (670-774),3,False
4625,5,598,Sentralitet: 5 (565-669),3,False
4626,4,769,Sentralitet: 4 (670-774),3,False
4627,3,810,Sentralitet: 3 (775-869),3,False
4628,5,644,Sentralitet: 5 (565-669),3,False
4629,6,530,Sentralitet: 6 (0-564) - lav,3,False
4630,4,717,Sentralitet: 4 (670-774),3,False
4631,4,731,Sentralitet: 4 (670-774),3,False
4632,5,641,Sentralitet: 5 (565-669),3,False
4633,6,436,Sentralitet: 6 (0-564) - lav,0,False
4634,6,552,Sentralitet: 6 (0-564) - lav,3,False
4635,6,483,Sentralitet: 6 (0-564) - lav,0,False
4636,6,350,Sentralitet: 6 (0-564) - lav,0,False
4637,6,481,Sentralitet: 6 (0-564) - lav,0,False
4638,6,547,Sentralitet: 6 (0-564) - lav,0,False
4639,6,532,Sentralitet: 6 (0-564) - lav,0,False
4640,5,659,Sentralitet: 5 (565-669),0,False
4641,6,528,Sentralitet: 6 (0-564) - lav,0,False
4642,5,570,Sentralitet: 5 (565-669),0,False
4643,5,592,Sentralitet: 5 (565-669),0,False
4644,5,567,Sentralitet: 5 (565-669),0,False
4645,6,504,Sentralitet: 6 (0-564) - lav,0,False
4646,6,562,Sentralitet: 6 (0-564) - lav,1,False
4647,5,667,Sentralitet: 5 (565-669),1,False
4648,6,476,Sentralitet: 6 (0-564) - lav,0,False
4649,5,607,Sentralitet: 5 (565-669),0,False
4650,5,617,Sentralitet: 5 (565-669),0,False
4651,5,603,Sentralitet: 5 (565-669),0,False
5001,2,885,Sentralitet: 2 (870-924),3,False
5006,4,721,Sentralitet: 4 (670-774),1,False
5007,4,690,Sentralitet: 4 (670-774),1,False
5014,6,531,Sentralitet: 6 (0-564) - lav,0,False
5020,6,459,Sentralitet: 6 (0-564) - lav,0,False
5021,5,666,Sentralitet: 5 (565-669),0,False
5022,5,602,Sentralitet: 5 (565-669),3,False
5025,5,644,Sentralitet: 5 (565-669),0,False
5026,6,524,Sentralitet: 6 (0-564) - lav,0,False
5027,5,657,Sentralitet: 5 (565-669),3,False
5028,3,776,Sentralitet: 3 (775-869),3,False
5029,4,746,Sentralitet: 4 (670-774),3,False
5031,3,807,Sentralitet: 3 (775-869),3,False
5032,5,643,Sentralitet: 5 (565-669),3,False
5033,6,519,Sentralitet: 6 (0-564) - lav,0,False
5034,5,626,Sentralitet: 5 (565-669),3,False
5035,3,802,Sentralitet: 3 (775-869),3,False
5036,5,657,Sentralitet: 5 (565-669),3,False
5037,4,752,Sentralitet: 4 (670-774),3,False
5038,4,747,Sentralitet: 4 (670-774),3,False
5041,6,561,Sentralitet: 6 (0-564) - lav,1,False
5042,6,398,Sentralitet: 6 (0-564) - lav,0,False
5043,6,389,Sentralitet: 6 (0-564) - lav,0,False
5044,6,427,Sentralitet: 6 (0-564) - lav,0,False
5045,5,593,Sentralitet: 5 (565-669),1,False
5046,6,525,Sentralitet: 6 (0-564) - lav,1,False
5047,5,611,Sentralitet: 5 (565-669),1,False
5049,6,475,Sentralitet: 6 (0-564) - lav,0,False
5052,6,386,Sentralitet: 6 (0-564) - lav,0,False
5053,4,670,Sentralitet: 4 (670-774),1,False
5054,5,621,Sentralitet: 5 (565-669),3,False
5055,5,588,Sentralitet: 5 (565-669),0,True
5056,6,551,Sentralitet: 6 (0-564) - lav,0,True
5057,5,603,Sentralitet: 5 (565-669),0,False
5058,6,512,Sentralitet: 6 (0-564) - lav,0,False
5059,4,728,Sentralitet: 4 (670-774),3,False
5060,5,581,Sentralitet: 5 (565-669),0,False
5061,5,607,Sentralitet: 5 (565-669),0,False
5501,3,803,Sentralitet: 3 (775-869),3,False
5503,4,738,Sentralitet: 4 (670-774),2,False
5510,5,587,Sentralitet: 5 (565-669),2,False
5512,6,542,Sentralitet: 6 (0-564) - lav,2,False
5514,6,447,Sentralitet: 6 (0-564) - lav,0,False
5516,6,509,Sentralitet: 6 (0-564) - lav,2,False
5518,6,517,Sentralitet: 6 (0-564) - lav,0,False
5520,5,597,Sentralitet: 5 (565-669),0,False
5522,6,552,Sentralitet: 6 (0-564) - lav,0,False
5524,5,576,Sentralitet: 5 (565-669),0,False
5526,5,610,Sentralitet: 5 (565-669),0,False
5528,6,496,Sentralitet: 6 (0-564) - lav,0,False
5530,5,611,Sentralitet: 5 (565-669),0,False
5532,6,557,Sentralitet: 6 (0-564) - lav,3,False
5534,6,452,Sentralitet: 6 (0-564) - lav,3,False
5536,6,486,Sentralitet: 6 (0-564) - lav,0,False
5538,6,516,Sentralitet: 6 (0-564) - lav,0,False
5540,6,431,Sentralitet: 6 (0-564) - lav,0,False
5542,6,556,Sentralitet: 6 (0-564) - lav,0,False
5544,5,570,Sentralitet: 5 (565-669),0,False
5546,6,438,Sentralitet: 6 (0-564) - lav,0,False
5601,4,713,Sentralitet: 4 (670-774),1,False
5603,4,682,Sentralitet: 4 (670-774),1,False
5605,5,634,Sentralitet: 5 (565-669),0,False
5607,5,641,Sentralitet: 5 (565-669),1,False
5610,6,554,Sentralitet: 6 (0-564) - lav,0,False
5612,6,495,Sentralitet: 6 (0-564) - lav,0,False
5614,6,351,Sentralitet: 6 (0-564) - lav,0,False
5616,6,351,Sentralitet: 6 (0-564) - lav,0,False
5618,6,397,Sentralitet: 6 (0-564) - lav,0,False
5620,6,525,Sentralitet: 6 (0-564) - lav,0,False
5622,6,543,Sentralitet: 6 (0-564) - lav,0,False
5624,6,430,Sentralitet: 6 (0-564) - lav,0,False
5626,6,407,Sentralitet: 6 (0-564) - lav,0,False
5628,6,490,Sentralitet: 6 (0-564) - lav,0,False
5630,6,426,Sentralitet: 6 (0-564) - lav,0,False
5632,6,538,Sentralitet: 6 (0-564) - lav,0,False
5634,6,515,Sentralitet: 6 (0-564) - lav,0,False
5636,6,476,Sentralitet: 6 (0-564) - lav,1,False
