kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
1515,Herøy (Møre og Romsdal),1987,04,929,3795,24.48,3154,29.45,1.0,False
1515,Herøy (Møre og Romsdal),1987,05,232,3795,6.11,3154,7.36,1.0,False
1515,Herøy (Møre og Romsdal),1987,06,0,3795,0.0,3154,0.0,1.0,False
1515,Herøy (Møre og Romsdal),1987,07,354,3795,9.33,3154,11.22,1.0,False
1515,Herøy (Møre og Romsdal),1987,08,0,3795,0.0,3154,0.0,1.0,False
1515,Herøy (Møre og Romsdal),1987,55,0,3795,0.0,3154,0.0,1.0,False
1515,Herøy (Møre og Romsdal),1987,99,641,3795,16.89,3154,,1.0,False
1516,Ulstein,1987,01,578,2801,20.64,2801,20.64,1.0,False
1516,Ulstein,1987,02,169,2801,6.03,2801,6.03,1.0,False
1516,Ulstein,1987,03,809,2801,28.88,2801,28.88,1.0,False
1516,Ulstein,1987,04,535,2801,19.1,2801,19.1,1.0,False
1516,Ulstein,1987,05,251,2801,8.96,2801,8.96,1.0,False
1516,Ulstein,1987,06,150,2801,5.36,2801,5.36,1.0,False
1516,Ulstein,1987,07,309,2801,11.03,2801,11.03,1.0,False
1516,Ulstein,1987,08,0,2801,0.0,2801,0.0,1.0,False
1516,Ulstein,1987,55,0,2801,0.0,2801,0.0,1.0,False
1516,Ulstein,1987,99,0,2801,0.0,2801,,1.0,False
1517,Hareid,1987,01,338,2119,15.95,2119,15.95,1.0,False
1517,Hareid,1987,02,0,2119,0.0,2119,0.0,1.0,False
1517,Hareid,1987,03,505,2119,23.83,2119,23.83,1.0,False
1517,Hareid,1987,04,387,2119,18.26,2119,18.26,1.0,False
1517,Hareid,1987,05,185,2119,8.73,2119,8.73,1.0,False
1517,Hareid,1987,06,112,2119,5.29,2119,5.29,1.0,False
1517,Hareid,1987,07,592,2119,27.94,2119,27.94,1.0,False
1517,Hareid,1987,08,0,2119,0.0,2119,0.0,1.0,False
1517,Hareid,1987,55,0,2119,0.0,2119,0.0,1.0,False
1517,Hareid,1987,99,0,2119,0.0,2119,,1.0,False
1520,Ørsta,1987,01,1060,5139,20.63,4821,21.99,1.0,False
1520,Ørsta,1987,02,400,5139,7.78,4821,8.3,1.0,False
1520,Ørsta,1987,03,767,5139,14.93,4821,15.91,1.0,False
1520,Ørsta,1987,04,1023,5139,19.91,4821,21.22,1.0,False
1520,Ørsta,1987,05,771,5139,15.0,4821,15.99,1.0,False
1520,Ørsta,1987,06,305,5139,5.94,4821,6.33,1.0,False
1520,Ørsta,1987,07,495,5139,9.63,4821,10.27,1.0,False
1520,Ørsta,1987,08,0,5139,0.0,4821,0.0,1.0,False
1520,Ørsta,1987,55,0,5139,0.0,4821,0.0,1.0,False
1520,Ørsta,1987,99,318,5139,6.19,4821,,1.0,False
1525,Stranda,1987,01,510,2357,21.64,1986,25.68,1.0,False
1525,Stranda,1987,02,0,2357,0.0,1986,0.0,1.0,False
1525,Stranda,1987,03,554,2357,23.5,1986,27.9,1.0,False
