kode,aar,befolkning
0128,1966,6783
0128,1967,6787
0128,1968,6789
0128,1969,6699
0128,1970,6655
0128,1971,6619
0128,1972,6689
0128,1973,6763
0128,1974,6806
0128,1975,6852
0128,1976,6834
0128,1977,6918
0128,1978,6993
0128,1979,7029
0128,1980,7097
0128,1981,7155
0128,1982,7168
0128,1983,7174
0128,1984,7229
0128,1985,7215
0128,1986,7159
0128,1987,7139
0128,1988,7125
0128,1989,7238
0128,1990,7182
0129,1951,1852
0129,1952,1835
0129,1953,1793
0129,1954,1823
0129,1955,1809
0129,1956,1781
0129,1957,1777
0129,1958,1766
0129,1959,1737
0129,1960,1734
0129,1961,1727
0129,1962,1697
0129,1963,1632
0130,1951,10308
0130,1952,10657
0130,1953,10902
0130,1954,11146
0130,1955,11619
0130,1956,11762
0130,1957,12089
0130,1958,12245
0130,1959,12428
0130,1960,12622
0130,1961,12868
0130,1962,13199
0130,1963,13559
0130,1964,13733
0130,1965,14163
0130,1966,14375
0130,1967,14386
0130,1968,14779
0130,1969,15291
0130,1970,15632
0130,1971,16032
0130,1972,16599
0130,1973,16759
0130,1974,17339
0130,1975,17612
0130,1976,17678
0130,1977,17884
0130,1978,18045
0130,1979,18084
0130,1980,18237
0130,1981,18457
0130,1982,18347
0130,1983,18442
0130,1984,18486
0130,1985,18511
0130,1986,18543
0130,1987,18557
0130,1988,18615
0130,1989,18526
0130,1990,18432
0131,1951,2937
0131,1952,2857
0131,1953,2908
0131,1954,3005
0131,1955,3039
0131,1956,3364
0131,1957,3429
0131,1958,3419
0131,1959,3501
0131,1960,3607
0131,1961,3671
0131,1962,3737
0131,1963,3837
0131,1964,4001
0131,1965,4058
0131,1966,4121
0131,1967,4158
0131,1968,4504
0131,1969,4643
0131,1970,4834
0131,1971,4959
0131,1972,5109
0131,1973,5780
0131,1974,5841
0131,1975,5893
0131,1976,5826
0131,1977,5749
0131,1978,5731
0131,1979,5722
0131,1980,5617
0131,1981,5635
0131,1982,5638
0131,1983,5553
0131,1984,5594
0131,1985,5638
0131,1986,5706
0131,1987,5713
0131,1988,5716
0131,1989,5681
0131,1990,5669
0132,1951,13959
0132,1952,14093
0132,1953,14348
0132,1954,14583
0132,1955,14900
0132,1956,15199
0132,1957,15472
0132,1958,15797
0132,1959,16005
0132,1960,16103
0132,1961,16259
0132,1962,16256
0132,1963,16432
0133,1951,4568
0133,1952,4625
0133,1953,4689
0133,1954,4735
0133,1955,4856
0133,1956,5016
0133,1957,5172
0133,1958,5305
0133,1959,5483
0133,1960,5678
0133,1961,5787
0133,1962,5948
0133,1963,6114
0133,1964,6236
0133,1965,6371
0133,1966,6444
0133,1967,6480
0133,1968,6510
0133,1969,6935
0133,1970,7003
0133,1971,7202
0133,1972,7452
0133,1973,7418
0133,1974,7449
0133,1975,7409
0133,1976,7463
0133,1977,7413
0133,1978,7420
0133,1979,7355
0133,1980,7310
0133,1981,7332
0133,1982,7322
0133,1983,7381
0133,1984,7387
0133,1985,7406
0133,1986,7433
0133,1987,7407
0133,1988,7423
0133,1989,7451
0133,1990,7460
0134,1951,8958
0134,1952,9091
