kode,etikett
5403,Alta (2020-2023)
5404,Vardø (2020-2023)
5405,Vadsø (2020-2023)
5406,Hammerfest - Hámmerfeasta (2020-2023)
5411,Kvæfjord (2020-2023)
5412,Dielddanuorri - Tjeldsund (2020-2023)
5413,Ibestad (2020-2023)
5414,Gratangen (2020-2023)
5415,Loabák - Lavangen (2020-2023)
5416,Bardu (2020-2023)
5417,Salangen (2020-2023)
5418,Målselv (2020-2023)
5419,Sørreisa (2020-2023)
5420,Dyrøy (2020-2023)
5421,Senja (2020-2023)
5422,Balsfjord (2020-2023)
5423,Karlsøy (2020-2023)
5424,Lyngen (2020-2023)
5425,Storfjord - Omasvuotna - Omasvuono (2020-2023)
5426,Gáivuotna - Kåfjord - Kaivuono (2020-2023)
5427,Skjervøy (2020-2023)
5428,Nordreisa - Ráisa - Raisi (2020-2023)
5429,Kvænangen (2020-2023)
5430,Guovdageaidnu - Kautokeino (2020-2023)
5432,Loppa (2020-2023)
5433,Hasvik (2020-2023)
5434,Måsøy (2020-2023)
5435,Nordkapp (2020-2023)
5436,Porsanger - Porsángu - Porsanki (2020-2023)
5437,Kárásjohka - Karasjok (2020-2023)
5438,Lebesby (2020-2023)
5439,Gamvik (2020-2023)
5440,Berlevåg (2020-2023)
5441,Deatnu - Tana (2020-2023)
5442,Unjárga - Nesseby (2020-2023)
5443,Båtsfjord (2020-2023)
5444,Sør-Varanger (2020-2023)
5501,Tromsø
5503,Harstad - Hárstták
5510,Kvæfjord
5512,Dielddanuorri - Tjeldsund
5514,Ibestad
5516,Gratangen - Rivtták
5518,Loabák - Lavangen
5520,Bardu
5522,Salangen
5524,Målselv
5526,Sørreisa
5528,Dyrøy
5530,Senja
5532,Balsfjord
5534,Karlsøy
5536,Lyngen - Ivgu - Yykeä
5538,Storfjord - Omasvuotna - Omasvuono
5540,Gáivuotna - Kåfjord - Kaivuono
5542,Skjervøy
5544,Nordreisa - Ráisa - Raisi
5546,Kvænangen
5601,Alta
5603,Hammerfest - Hámmerfeasta
5605,Sør-Varanger
5607,Vadsø
5610,Kárásjohka - Karasjok
5612,Guovdageaidnu - Kautokeino
5614,Loppa
5616,Hasvik
5618,Måsøy
5620,Nordkapp
5622,Porsanger - Porsángu - Porsanki
5624,Lebesby
5626,Gamvik
5628,Deatnu - Tana
5630,Berlevåg
5632,Båtsfjord
5634,Vardø
5636,Unjárga - Nesseby
9999,Uoppgitt kommune
