kom2024,parti,aar,stemmer
3401,10,2021,266
3401,10,2025,235
3401,156,2021,13
3401,132,2021,25
3401,132,2025,13
3403,01,2021,6443
3403,01,2025,7945
3403,02,2021,1169
3403,02,2025,3083
3403,03,2021,2774
3403,03,2025,2758
3403,04,2021,488
3403,04,2025,598
3403,08,2021,683
3403,08,2025,1021
3403,55,2021,775
3403,55,2025,1068
3403,05,2021,2808
3403,05,2025,1091
3403,06,2021,2209
3403,06,2025,1408
3403,07,2021,873
3403,07,2025,731
3403,150,2021,13
3403,122,2021,134
3403,122,2025,103
3403,151,2021,7
3403,158,2025,40
3403,154,2025,98
3403,152,2021,23
3403,152,2025,73
3403,123,2021,30
3403,123,2025,55
3403,133,2021,24
3403,159,2025,14
3403,153,2021,42
3403,153,2025,29
3403,10,2021,189
3403,10,2025,328
3403,156,2021,12
3403,132,2021,32
3403,132,2025,24
3405,01,2021,5979
3405,01,2025,6471
3405,02,2021,1034
3405,02,2025,2777
3405,03,2021,2700
3405,03,2025,2277
3405,04,2021,288
3405,04,2025,445
3405,08,2021,804
3405,08,2025,991
3405,55,2021,849
3405,55,2025,924
3405,05,2021,2146
3405,05,2025,1130
3405,06,2021,1615
3405,06,2025,1216
3405,07,2021,690
3405,07,2025,599
3405,150,2021,5
3405,122,2021,100
3405,122,2025,84
3405,151,2021,15
3405,158,2025,55
3405,154,2025,101
3405,152,2021,19
3405,152,2025,81
3405,123,2021,26
3405,123,2025,38
3405,133,2021,9
3405,159,2025,24
3405,153,2021,43
3405,153,2025,34
3405,10,2021,133
3405,10,2025,214
3405,124,2021,16
3405,132,2021,33
3405,132,2025,17
3407,01,2021,6429
3407,01,2025,6647
3407,02,2021,1356
3407,02,2025,3729
3407,03,2021,2687
3407,03,2025,2125
3407,04,2021,388
3407,04,2025,505
3407,08,2021,449
3407,08,2025,538
3407,55,2021,655
3407,55,2025,836
3407,05,2021,2891
3407,05,2025,1420
3407,06,2021,1050
3407,06,2025,836
3407,07,2021,546
3407,07,2025,526
3407,150,2021,8
3407,122,2021,110
3407,122,2025,112
3407,151,2021,11
3407,158,2025,40
3407,154,2025,107
3407,152,2021,16
3407,152,2025,98
3407,123,2021,55
3407,123,2025,81
3407,133,2021,17
3407,159,2025,26
3407,153,2021,28
3407,153,2025,28
3407,10,2021,118
3407,10,2025,135
3407,124,2021,16
3407,132,2021,35
3407,132,2025,35
3411,01,2021,6888
3411,01,2025,7575
3411,02,2021,1777
3411,02,2025,4495
3411,03,2021,2245
3411,03,2025,1875
3411,04,2021,291
3411,04,2025,426
3411,08,2021,405
3411,08,2025,543
3411,55,2021,593
3411,55,2025,809
3411,05,2021,4641
3411,05,2025,2285
3411,06,2021,1154
