"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"1260","04","2","Radøy (-2019)","","","","","","","731"
"1263","04","2","Lindås (-2019)","","","","","","","731"
"1264","05","2","Austrheim (-2019)","","","","","","","641"
"1265","06","2","Fedje (-2019)","","","","","","","436"
"1266","06","2","Masfjorden (-2019)","","","","","","","552"
"1401","05","2","Flora (-2019)","","","","","","","663"
"1411","06","2","Gulen (-2019)","","","","","","","483"
"1412","06","2","Solund (-2019)","","","","","","","350"
"1413","06","2","Hyllestad (-2019)","","","","","","","481"
"1416","06","2","Høyanger (-2019)","","","","","","","547"
"1417","06","2","Vik (-2019)","","","","","","","532"
"1418","05","2","Balestrand (-2019)","","","","","","","659"
"1419","05","2","Leikanger (-2019)","","","","","","","659"
"1420","05","2","Sogndal (-2019)","","","","","","","659"
"1421","06","2","Aurland (-2019)","","","","","","","528"
"1422","05","2","Lærdal (-2019)","","","","","","","570"
"1424","05","2","Årdal (-2019)","","","","","","","592"
"1426","05","2","Luster (-2019)","","","","","","","567"
"1428","06","2","Askvoll (-2019)","","","","","","","504"
"1429","06","2","Fjaler (-2019)","","","","","","","562"
"1430","05","2","Gaular (-2019)","","","","","","","667"
"1431","05","2","Jølster (-2019)","","","","","","","667"
"1432","05","2","Førde (-2019)","","","","","","","667"
"1433","05","2","Naustdal (-2019)","","","","","","","667"
"1438","06","2","Bremanger (-2019)","","","","","","","476"
"1439","05","2","Vågsøy (-2019)","","","","","","","663"
"1441","05","2","Selje (-2019)","","","","","","","607"
"1443","05","2","Eid (-2019)","","","","","","","607"
"1444","04","2","Hornindal (-2019)","","","","","","","705"
"1445","05","2","Gloppen (-2019)","","","","","","","617"
"1449","05","2","Stryn (1977-2019)","","","","","","","603"
"1502","04","2","Molde (-2019)","","","","","","","740"
"1503","04","2","Kristiansund  (-2007)","","","","","","","749"
"1504","03","2","Ålesund (1977-2019)","","","","","","","800"
"1505","04","2","Kristiansund","","","","","","","749"
"1506","04","2","Molde","","","","","","","740"
"1507","03","2","Ålesund","","","","","","","800"
"1508","03","2","Ålesund","","","","","","","800"
"1511","06","2","Vanylven","","","","","","","535"
