kom2024,parti,aar,stemmer
3428,05,2023,583
3428,07,2019,42
3428,07,2023,73
3428,90,2023,71
3429,01,2019,404
3429,01,2023,472
3429,55,2019,91
3429,55,2023,67
3429,05,2019,385
3429,05,2023,274
3429,91,2019,111
3429,91,2023,108
3430,01,2019,328
3430,01,2023,414
3430,04,2019,62
3430,04,2023,78
3430,05,2019,634
3430,05,2023,499
3430,06,2019,114
3430,06,2023,86
3431,01,2019,399
3431,01,2023,364
3431,03,2019,131
3431,03,2023,106
3431,05,2019,468
3431,05,2023,534
3431,91,2019,409
3431,91,2023,205
3432,01,2019,431
3432,01,2023,466
3432,03,2019,139
3432,03,2023,90
3432,05,2019,538
3432,05,2023,453
3433,01,2019,323
3433,01,2023,208
3433,05,2019,774
3433,05,2023,596
3433,91,2019,173
3433,91,2023,299
3434,01,2019,247
3434,01,2023,206
3434,05,2019,468
3434,05,2023,258
3434,91,2019,433
3434,91,2023,737
3435,01,2019,598
3435,01,2023,495
3435,05,2019,668
3435,05,2023,376
3435,06,2019,215
3435,06,2023,231
3435,91,2019,488
3435,91,2023,782
3436,01,2019,1781
3436,01,2023,1134
3436,02,2019,93
3436,02,2023,243
3436,03,2019,194
3436,03,2023,311
3436,04,2019,71
3436,04,2023,75
3436,55,2023,94
3436,05,2019,769
3436,05,2023,705
3437,01,2019,982
3437,01,2023,1018
3437,02,2019,56
3437,03,2019,148
3437,08,2019,95
3437,05,2019,1908
3437,05,2023,1402
3437,06,2019,104
3437,06,2023,194
3438,01,2019,511
3438,01,2023,505
3438,03,2019,57
3438,03,2023,174
3438,55,2019,37
3438,05,2019,818
3438,05,2023,732
3438,91,2019,137
3438,91,2023,123
3439,01,2019,1186
3439,01,2023,1093
3439,03,2023,100
3439,08,2019,87
3439,08,2023,69
3439,05,2019,611
3439,05,2023,551
3439,90,2019,82
3439,91,2019,251
3439,91,2023,317
3439,92,2023,59
3440,01,2019,907
3440,01,2023,587
3440,02,2023,120
3440,03,2019,269
3440,03,2023,499
3440,04,2019,81
3440,04,2023,76
3440,05,2019,1148
3440,05,2023,783
3440,06,2019,216
3440,06,2023,333
3441,01,2019,1132
3441,01,2023,664
3441,08,2019,130
3441,08,2023,147
3441,05,2019,1375
3441,05,2023,940
3441,07,2023,116
3441,90,2019,181
3441,90,2023,344
3441,91,2019,296
3441,91,2023,585
3442,01,2019,2689
3442,01,2023,2318
3442,02,2019,484
3442,02,2023,846
3442,03,2019,684
3442,03,2023,869
3442,04,2019,175
3442,04,2023,154
3442,08,2019,229
3442,08,2023,145
3442,55,2019,230
3442,55,2023,202
3442,05,2019,2165
3442,05,2023,1390
3442,06,2019,213
3442,06,2023,240
3442,07,2019,199
3442,07,2023,263
3442,10,2019,170
3442,10,2023,299
3443,01,2019,2565
3443,01,2023,2075
3443,02,2019,523
3443,02,2023,829
3443,03,2019,1008
3443,03,2023,1353
3443,04,2019,134
3443,04,2023,187
3443,08,2019,225
3443,08,2023,107
3443,55,2019,227
3443,55,2023,270
3443,05,2019,1514
3443,05,2023,898
3443,06,2019,200
3443,06,2023,215
3443,07,2019,143
3443,07,2023,209
3446,01,2019,1892
3446,01,2023,2328
3446,02,2019,375
3446,02,2023,735
3446,03,2019,649
3446,03,2023,1235
3446,08,2019,141
3446,08,2023,88
3446,55,2023,175
3446,05,2019,1411
3446,05,2023,449
3446,06,2023,194
3446,07,2019,129
3446,07,2023,95
3446,90,2019,318
3446,91,2019,2008
3446,91,2023,1527
3447,01,2019,869
3447,01,2023,1031
3447,02,2023,126
3447,03,2019,443
3447,03,2023,272
3447,04,2019,42
3447,04,2023,49
3447,08,2019,62
3447,08,2023,43
3447,55,2019,96
3447,55,2023,86
3447,05,2019,443
3447,05,2023,210
3447,06,2019,124
3447,06,2023,119
3447,07,2019,119
3447,07,2023,80
3447,91,2019,519
3447,91,2023,509
3448,01,2019,1265
3448,01,2023,918
3448,02,2023,293
3448,03,2019,276
3448,03,2023,271
3448,04,2019,62
3448,08,2019,64
3448,05,2019,1305
3448,05,2023,1106
3448,06,2019,201
3448,06,2023,249
3448,90,2023,98
3448,91,2019,172
3448,91,2023,193
3449,01,2019,477
3449,01,2023,390
3449,02,2019,80
3449,02,2023,154
3449,03,2019,132
3449,03,2023,153
3449,05,2019,768
3449,05,2023,681
3449,91,2019,106
3450,01,2019,233
3450,01,2023,149
3450,02,2019,67
3450,02,2023,107
3450,04,2023,60
3450,05,2019,331
3450,05,2023,305
3450,90,2019,74
3450,91,2019,23
3451,01,2019,994
3451,01,2023,650
3451,02,2019,288
3451,02,2023,315
3451,03,2019,282
3451,03,2023,318
3451,04,2019,50
3451,08,2023,137
3451,05,2019,1156
3451,05,2023,1159
3451,06,2019,146
3451,06,2023,152
3451,07,2019,238
3451,07,2023,63
3451,92,2023,82
3452,01,2019,163
3452,01,2023,147
3452,08,2019,80
3452,08,2023,72
3452,05,2019,610
3452,05,2023,571
3452,91,2019,236
3452,91,2023,238
3453,01,2019,371
3453,01,2023,432
3453,03,2019,202
3453,03,2023,265
3453,05,2019,829
3453,05,2023,422
3453,06,2019,115
3453,06,2023,212
3453,07,2019,69
3453,07,2023,130
3454,01,2019,476
3454,01,2023,339
3454,08,2019,68
3454,08,2023,66
3454,55,2023,22
3454,05,2019,216
3454,05,2023,125
3454,91,2019,134
3454,91,2023,310
3901,01,2023,4278
3901,02,2023,1461
3901,03,2023,3107
3901,04,2023,352
3901,08,2023,707
3901,55,2023,909
3901,05,2023,217
3901,06,2023,776
3901,07,2023,744
3901,92,2023,1108
3903,01,2023,2372
3903,02,2023,2451
3903,03,2023,4061
3903,04,2023,487
3903,08,2023,338
3903,55,2023,475
3903,05,2023,847
3903,06,2023,582
3903,07,2023,289
3903,92,2023,775
3905,01,2023,6281
3905,02,2023,3369
3905,03,2023,9264
3905,04,2023,1159
3905,08,2023,1193
3905,55,2023,972
3905,05,2023,1376
3905,06,2023,1755
3905,07,2023,1138
3905,91,2023,193
3905,92,2023,1818
3907,01,2023,4963
3907,02,2023,2882
3907,03,2023,11793
3907,04,2023,971
3907,08,2023,923
3907,55,2023,923
3907,05,2023,1030
3907,06,2023,1783
3907,07,2023,1311
3907,92,2023,2538
3909,01,2023,4288
3909,02,2023,4884
3909,03,2023,6294
3909,04,2023,1063
3909,08,2023,724
3909,55,2023,672
3909,05,2023,1352
3909,06,2023,1435
3909,07,2023,1136
3909,92,2023,1538
3911,01,2023,4126
3911,02,2023,1608
3911,03,2023,4339
3911,04,2023,411
