kode,husholdtype,variabel,aar,verdi
3053,0000,AntallHushold,2023,3319
3054,0000,InntSkatt,2020,591000
3054,0000,InntSkatt,2021,606000
3054,0000,InntSkatt,2022,632000
3054,0000,InntSkatt,2023,676000
3054,0000,AntallHushold,2020,4051
3054,0000,AntallHushold,2021,4112
3054,0000,AntallHushold,2022,4220
3054,0000,AntallHushold,2023,4285
0101,0000,InntSkatt,2005,296000
0101,0000,InntSkatt,2006,310000
0101,0000,InntSkatt,2007,332000
0101,0000,InntSkatt,2008,356000
0101,0000,InntSkatt,2009,364000
0101,0000,InntSkatt,2010,378000
0101,0000,InntSkatt,2011,400000
0101,0000,InntSkatt,2012,414000
0101,0000,InntSkatt,2013,426000
0101,0000,InntSkatt,2014,440000
0101,0000,InntSkatt,2015,451000
0101,0000,InntSkatt,2016,453000
0101,0000,InntSkatt,2017,470000
0101,0000,InntSkatt,2018,480000
0101,0000,InntSkatt,2019,496000
0101,0000,AntallHushold,2005,12999
0101,0000,AntallHushold,2006,12575
0101,0000,AntallHushold,2007,12793
0101,0000,AntallHushold,2008,12877
0101,0000,AntallHushold,2009,13000
0101,0000,AntallHushold,2010,13158
0101,0000,AntallHushold,2011,13347
0101,0000,AntallHushold,2012,13528
0101,0000,AntallHushold,2013,13724
0101,0000,AntallHushold,2014,13775
0101,0000,AntallHushold,2015,13890
0101,0000,AntallHushold,2016,14124
0101,0000,AntallHushold,2017,14281
0101,0000,AntallHushold,2018,14454
0101,0000,AntallHushold,2019,14561
0104,0000,InntSkatt,2005,306000
0104,0000,InntSkatt,2006,320000
0104,0000,InntSkatt,2007,340000
0104,0000,InntSkatt,2008,360000
0104,0000,InntSkatt,2009,366000
0104,0000,InntSkatt,2010,378000
0104,0000,InntSkatt,2011,396000
0104,0000,InntSkatt,2012,410000
0104,0000,InntSkatt,2013,421000
0104,0000,InntSkatt,2014,435000
0104,0000,InntSkatt,2015,449000
0104,0000,InntSkatt,2016,456000
0104,0000,InntSkatt,2017,465000
0104,0000,InntSkatt,2018,480000
0104,0000,InntSkatt,2019,492000
0104,0000,AntallHushold,2005,12694
0104,0000,AntallHushold,2006,13163
0104,0000,AntallHushold,2007,13549
0104,0000,AntallHushold,2008,13910
0104,0000,AntallHushold,2009,14109
0104,0000,AntallHushold,2010,14143
0104,0000,AntallHushold,2011,14326
0104,0000,AntallHushold,2012,14479
0104,0000,AntallHushold,2013,14754
0104,0000,AntallHushold,2014,14956
0104,0000,AntallHushold,2015,15046
0104,0000,AntallHushold,2016,15132
0104,0000,AntallHushold,2017,15313
0104,0000,AntallHushold,2018,15456
0104,0000,AntallHushold,2019,15740
0105,0000,InntSkatt,2005,303000
0105,0000,InntSkatt,2006,316000
0105,0000,InntSkatt,2007,340000
0105,0000,InntSkatt,2008,366000
