Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
02;Akershus;0217;Oppegård;0001;Kolbotn;5124;1908;2643;4551;0;1;0;2942;2942;0;18;0;11;
02;Akershus;0217;Oppegård;0002;Hellerasten;4633;1204;2712;3916;0;2;0;2564;2564;0;3;0;19;
02;Akershus;0217;Oppegård;0003;Sofiemyr;4536;1146;2643;3789;0;0;0;2431;2431;0;14;0;12;
02;Akershus;0217;Oppegård;0004;Greverud;4715;1132;2885;4017;0;0;0;2945;2945;0;8;0;14;
02;Akershus;0219;Bærum;0000;Uoppgitt krets;357;190;22;212;3;3;35600;14;35614;113;114;147;147;
02;Akershus;0219;Bærum;0001;Snarøya;5253;3262;1403;4665;2;3;0;1431;1431;0;5;0;7;
02;Akershus;0219;Bærum;0002;Lysaker og Stabekk;6339;2948;2453;5401;2;2;0;2365;2365;0;2;0;8;
02;Akershus;0219;Bærum;0003;Grav;4644;1925;2208;4133;0;0;0;2137;2137;0;1;0;10;
02;Akershus;0219;Bærum;0004;Jar;2046;825;1036;1861;1;1;0;1093;1093;0;1;0;6;
02;Akershus;0219;Bærum;0005;Eiksmarka;6257;2421;3094;5515;0;0;0;3124;3124;0;0;0;6;
02;Akershus;0219;Bærum;0006;Hosle;5319;2112;2580;4692;0;1;0;2501;2501;0;0;0;3;
02;Akershus;0219;Bærum;0007;Bekkestua;5313;2534;2181;4715;0;0;0;2472;2472;0;5;0;6;
02;Akershus;0219;Bærum;0008;Høvik;3748;1431;1776;3207;1;1;0;1766;1766;0;3;0;7;
02;Akershus;0219;Bærum;0009;Høvik Verk;2252;890;1066;1956;1;1;0;1082;1082;0;0;0;1;
02;Akershus;0219;Bærum;0010;Løkeberg;6216;2633;2732;5365;1;1;0;2656;2656;0;0;0;13;
02;Akershus;0219;Bærum;0011;Sandvika;7860;3523;2720;6243;1;1;0;2763;2763;0;3;0;12;
02;Akershus;0219;Bærum;0012;Jong;1870;642;919;1561;0;0;0;930;930;0;2;0;2;
02;Akershus;0219;Bærum;0013;Tanum;2914;1007;1495;2502;0;0;0;1470;1470;0;1;0;4;
02;Akershus;0219;Bærum;0014;Skui;2672;874;1254;2128;0;0;0;1244;1244;0;2;0;3;
02;Akershus;0219;Bærum;0015;Kolsås;7741;3312;3016;6328;0;0;0;2978;2978;0;1;0;18;
02;Akershus;0219;Bærum;0016;Rykkinn;4793;2095;1693;3788;0;0;0;1752;1752;0;3;0;8;
02;Akershus;0219;Bærum;0017;Lesterud og Bærums Verk;4567;1838;2009;3847;1;2;0;2003;2003;0;0;0;5;
02;Akershus;0219;Bærum;0018;Lommedalen;3154;1124;1584;2708;0;0;0;1496;1496;0;1;0;5;
02;Akershus;0220;Asker;0000;Uoppgitt krets;192;96;12;108;3;3;14280;9;14289;3;3;45;45;
02;Akershus;0220;Asker;0001;Nesøya;2958;841;1755;2596;1;1;0;1758;1758;0;2;0;3;
02;Akershus;0220;Asker;0002;Nesbru;5211;1712;2732;4444;2;2;0;2850;2850;0;1;0;8;
02;Akershus;0220;Asker;0003;Hofstad;5032;1822;2570;4392;1;1;0;2517;2517;0;0;0;16;
02;Akershus;0220;Asker;0004;Risenga;5958;2487;2657;5144;1;1;0;2691;2691;0;2;0;6;
02;Akershus;0220;Asker;0005;Borgen;6261;2090;2971;5061;1;2;0;3010;3010;0;1;0;10;
02;Akershus;0220;Asker;0006;Hovedgården;5158;1605;2600;4205;2;2;0;2549;2549;0;2;0;6;
02;Akershus;0220;Asker;0007;Vollen;4514;1332;2483;3815;1;1;0;2450;2450;0;1;0;13;
02;Akershus;0220;Asker;0008;Solvang;5682;2298;2515;4813;0;1;0;2463;2463;0;3;0;11;
02;Akershus;0221;Aurskog-Høland;0000;Uoppgitt krets;42;11;1;12;0;0;2306;0;2306;0;0;15;15;
02;Akershus;0221;Aurskog-Høland;0001;Bjørkelangen;3024;783;1558;2341;1;1;0;1595;1595;0;1;0;19;
02;Akershus;0221;Aurskog-Høland;0002;Løken;2520;377;1507;1884;0;0;0;1494;1494;0;2;0;23;
02;Akershus;0221;Aurskog-Høland;0003;Hemnes;1565;262;971;1233;0;0;0;970;970;0;3;0;7;
02;Akershus;0221;Aurskog-Høland;0004;Setskog;543;101;358;459;0;0;0;352;352;0;0;0;3;
02;Akershus;0221;Aurskog-Høland;0005;Haneborg;889;180;530;710;0;1;0;524;524;0;0;0;5;
02;Akershus;0221;Aurskog-Høland;0006;Aursmoen;3111;591;1865;2456;0;0;0;1857;1857;0;2;0;19;
02;Akershus;0226;Sørum;0000;Uoppgitt krets;24;6;5;11;1;1;2078;86;2164;13;15;10;12;
02;Akershus;0226;Sørum;0001;Sørum;1401;215;974;1189;0;0;0;956;956;0;2;0;9;
02;Akershus;0226;Sørum;0002;Sørumsand;3345;846;1930;2776;0;0;0;1930;1930;0;0;0;14;
02;Akershus;0226;Sørum;0003;Vesterskaun;1226;137;875;1012;1;1;0;865;865;0;2;0;4;
02;Akershus;0226;Sørum;0004;Frogner;3501;532;2234;2766;3;3;0;2229;2229;0;1;0;3;
02;Akershus;0226;Sørum;0005;Fjuk;935;99;662;761;1;1;0;652;652;0;0;0;8;
