Tid,GodkjenteProsent,PolitParti,Region
2013 2013,6.7,05 Senterpartiet,0135 Råde (-2019)
2017 2017,13.0,05 Senterpartiet,0135 Råde (-2019)
2013 2013,1.5,06 Sosialistisk Venstreparti,0135 Råde (-2019)
2017 2017,2.9,06 Sosialistisk Venstreparti,0135 Råde (-2019)
2013 2013,3.7,07 Venstre,0135 Råde (-2019)
2017 2017,1.9,07 Venstre,0135 Råde (-2019)
2013 2013,1.4,08 Miljøpartiet de Grønne,0135 Råde (-2019)
2017 2017,2.2,08 Miljøpartiet de Grønne,0135 Råde (-2019)
2013 2013,0.4,55 Rødt,0135 Råde (-2019)
2017 2017,1.1,55 Rødt,0135 Råde (-2019)
2013 2013,30.3,01 Arbeiderpartiet,0136 Rygge (-2019)
2017 2017,30.7,01 Arbeiderpartiet,0136 Rygge (-2019)
2013 2013,20.3,02 Fremskrittspartiet,0136 Rygge (-2019)
2017 2017,16.9,02 Fremskrittspartiet,0136 Rygge (-2019)
2013 2013,31.6,03 Høyre,0136 Rygge (-2019)
2017 2017,27.7,03 Høyre,0136 Rygge (-2019)
2013 2013,4.2,04 Kristelig Folkeparti,0136 Rygge (-2019)
2017 2017,2.8,04 Kristelig Folkeparti,0136 Rygge (-2019)
2013 2013,2.7,05 Senterpartiet,0136 Rygge (-2019)
2017 2017,7.1,05 Senterpartiet,0136 Rygge (-2019)
2013 2013,3.0,06 Sosialistisk Venstreparti,0136 Rygge (-2019)
2017 2017,5.3,06 Sosialistisk Venstreparti,0136 Rygge (-2019)
2013 2013,4.0,07 Venstre,0136 Rygge (-2019)
2017 2017,3.4,07 Venstre,0136 Rygge (-2019)
2013 2013,2.1,08 Miljøpartiet de Grønne,0136 Rygge (-2019)
2017 2017,2.5,08 Miljøpartiet de Grønne,0136 Rygge (-2019)
2013 2013,0.6,55 Rødt,0136 Rygge (-2019)
2017 2017,2.0,55 Rødt,0136 Rygge (-2019)
2013 2013,24.5,01 Arbeiderpartiet,0137 Våler (Østfold) (-2019)
2017 2017,20.7,01 Arbeiderpartiet,0137 Våler (Østfold) (-2019)
